city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)"
Garrison,United States,Reports of it being haunted by a young woman.,Bird and Bottle Inn,New York,NY,-73.9107585,41.41324789999999,-73.9404737,41.3804881,False,False,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"6,701",23.8,4.18,17.6%,5.4,7.1,1.6,3.7,44.2%,67.2%,63.3%,36.7%,86.4%,2.03%,159338.0,16.33,22.046,3.08,82598.28571428571,820.7857142857143,395281.0,128.0,125.0,Much Above Average,1029.0,494.0,256.0,27.0,68.0,79.0,105.0
Geneseo,United States,Blake Hall & Steuben Hall - Strange Presences have been noted in Blake and Steuben Halls. These presences include unexplained noises and white apparitions.it's said that a boy fell and died during the construction of Monroe hall and has been seen on several occasions by students.,State University of New York,New York,NY,-77.8237029,42.796092,-77.816947,42.795896,True,True,0660/07/13,2,Unknown,"Ghost (Male, student)",Death,"6,701",23.8,4.18,17.6%,5.4,7.1,1.6,3.7,44.2%,67.2%,63.3%,36.7%,86.4%,2.03%,159338.0,16.33,22.046,3.08,82598.28571428571,820.7857142857143,395281.0,128.0,125.0,Much Above Average,1029.0,494.0,256.0,27.0,68.0,79.0,105.0
Geneva,United States,"The ghost of Belhurst Castle is that of a beautiful Italian opera singer, who fled from Spain with her lover. One night the couple raced to their secret tunnel. Just when within safety the tunnel collapsed killing the opera singer. Over the years, dozens of guests have reported seeing a woman in white standing silently on the front lawn in the middle of the night.",Belhurst Castle,New York,NY,-76.9752306,42.8392709,-76.985557,42.8679836,False,True,1889/03/13,1,Night,Ghost (Male),Supernatural,"6,701",23.8,4.18,17.6%,5.4,7.1,1.6,3.7,44.2%,67.2%,63.3%,36.7%,86.4%,2.03%,159338.0,16.33,22.046,3.08,82598.28571428571,820.7857142857143,395281.0,128.0,125.0,Much Above Average,1029.0,494.0,256.0,27.0,68.0,79.0,105.0
Geneva,United States,"Hirshson - Rm 304 -  will fly off of shelves by themselves, the pull blind will pull down by itself, and then roll up to the top. There are also scratching sounds along both walls around one in the morning and about once a week, it sounds as if someone is walking around the room and tapping on the desks when no one else is there. Images have also been seen in the door mirror.",Hobart and William Smith Colleges,New York,NY,-76.98448680000001,42.8591531,-76.985557,42.8679836,True,True,1797/03/13,1,Morning,Other (Male),Unknown,"6,701",23.8,4.18,17.6%,5.4,7.1,1.6,3.7,44.2%,67.2%,63.3%,36.7%,86.4%,2.03%,159338.0,16.33,22.046,3.08,82598.28571428571,820.7857142857143,395281.0,128.0,125.0,Much Above Average,1029.0,494.0,256.0,27.0,68.0,79.0,105.0
Geneva,United States,"Hirshson -  and several others on campus, are haunted by former students.",Hobart and William Smith Colleges,New York,NY,-76.98448680000001,42.8591531,-76.985557,42.8679836,False,False,1797/03/13,0,Unknown,"Ghost (Male, student)",Supernatural,"6,701",23.8,4.18,17.6%,5.4,7.1,1.6,3.7,44.2%,67.2%,63.3%,36.7%,86.4%,2.03%,159338.0,16.33,22.046,3.08,82598.28571428571,820.7857142857143,395281.0,128.0,125.0,Much Above Average,1029.0,494.0,256.0,27.0,68.0,79.0,105.0
Geneva,United States,Smith Hall - The office of the women's college has a male ghost who walks along the roof of the hall around 3 in the morning.,Hobart and William Smith Colleges,New York,NY,-76.98448680000001,42.8591531,-76.985557,42.8679836,False,False,1797/03/13,0,Morning,Ghost (Male),Supernatural,"6,701",23.8,4.18,17.6%,5.4,7.1,1.6,3.7,44.2%,67.2%,63.3%,36.7%,86.4%,2.03%,159338.0,16.33,22.046,3.08,82598.28571428571,820.7857142857143,395281.0,128.0,125.0,Much Above Average,1029.0,494.0,256.0,27.0,68.0,79.0,105.0
Geneva,United States,"The quad area - used to be a cemetery, which was moved when the school was built. From 1 until 3 in the morning, a transparent man can be seen walking his dog across the quad.",Hobart and William Smith Colleges,New York,NY,-76.98448680000001,42.8591531,-76.985557,42.8679836,False,True,1797/03/13,1,Morning,Unknown (Male),Unknown,"6,701",23.8,4.18,17.6%,5.4,7.1,1.6,3.7,44.2%,67.2%,63.3%,36.7%,86.4%,2.03%,159338.0,16.33,22.046,3.08,82598.28571428571,820.7857142857143,395281.0,128.0,125.0,Much Above Average,1029.0,494.0,256.0,27.0,68.0,79.0,105.0
Gilbertsville/Mt Upton,United States,2 kids were driving and got killed on the front yard of the school and one the day back from summer vacation you see a flower bouquet on the spot where they died.,Gilbertsville Mt Upton Central School,New York,NY,-75.3468031,42.4447641,-75.3468031,42.4447641,False,True,2025/01/01,0,Unknown,Unknown (Male),Murder,"6,701",23.8,4.18,17.6%,5.4,7.1,1.6,3.7,44.2%,67.2%,63.3%,36.7%,86.4%,2.03%,159338.0,16.33,22.046,3.08,82598.28571428571,820.7857142857143,395281.0,128.0,125.0,Much Above Average,1029.0,494.0,256.0,27.0,68.0,79.0,105.0
Glen Haven,United States,"The Screamer - A sanitarium was burned down in 1912 to clear a spot for a watershed for the city of Syracuse. The site is located on Skaneateles Lake. The Sanitarium's caretaker was said to have perished in the fire. His screams could be heard across the lake. Even in life, he was a nasty jealous man and now takes out his revenge on those at the summer camp across the lake. He can be seen and heard at night pacing the wooded cliffs above the camp brandishing his sharpened scythe and wailing.",Skaneateles,New York,NY,-76.2677602,42.7661004,-76.27798589999999,42.7656238,True,True,2025/05/13,1,Night,Unknown (Male),Accident,"6,701",23.8,4.18,17.6%,5.4,7.1,1.6,3.7,44.2%,67.2%,63.3%,36.7%,86.4%,2.03%,159338.0,16.33,22.046,3.08,82598.28571428571,820.7857142857143,395281.0,128.0,125.0,Much Above Average,1029.0,494.0,256.0,27.0,68.0,79.0,105.0
Glens Falls,United States,there are many ghosts in the old patient wing built over 150 years ago my mother witnessed a man in a black suit walking down the hall towards her with all the lights on and no body in the halls but the ghosts said to be over 200 ghosts in the hospital.,Glens Falls Hospital,New York,NY,-73.6455339,43.306768,-73.6440058,43.3095164,False,False,0410/03/13,1,Unknown,Ghost (Male),Supernatural,"6,701",23.8,4.18,17.6%,5.4,7.1,1.6,3.7,44.2%,67.2%,63.3%,36.7%,86.4%,2.03%,159338.0,16.33,22.046,3.08,82598.28571428571,820.7857142857143,395281.0,128.0,125.0,Much Above Average,1029.0,494.0,256.0,27.0,68.0,79.0,105.0
