city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)",daylight_hours,Safe_Filename
Minneapolis,United States,Arcola Trail Bridge - A young wife searches to find her husband along the abandoned railroad tracks of Arcola Trail in Stillwater Minnesota. You may find her walking about with her lantern in her white gown late at night.,Stillwater,Minnesota,MN,-92.8345333,45.0377549,-93.2650108,44.977753,False,False,2025/05/13,0,Night,Unknown (Male),Unknown,"2,082",24.1,4.74,21.7%,5.5,7.7,1.5,3.7,53.0%,67.3%,65.2%,34.8%,87.3%,2.31%,50092.0,3.886,5.247,2.35,13512.714285714286,106.0,148123.35714285713,115.0,110.0,Near Average,1259.0,518.0,113.0,355.0,139.0,98.0,36.0,11.83,Arcola_Trail_Bridge___A_young_wife_searches_to_fin.png
Minneapolis,United States,"The casino is located about 1 hour from the Minneapolis area near the Wisconsin / Minnesota border. Returning home from the casino (on Hwy 18 along the Mississippi river) alone after midnight, a witness reports he stopped his car on the shoulder of the highway to take a little nap as it was late and he was tired. Shortly after he closed his eyes, he heard the soft muted sound of footsteps walking towards his car. The footsteps sounded like a person with a broken leg because it was dragging one leg as it walked. He got up to see who it was because he didn't want the cops to give him a ticket. He peered out of the car window to see an old man(?) with dark hallow eyes and frayed white hair leaning on the passenger window behind the driver's seat. The old man was rotten and his clothes were tattered! That was all he could make out of the ghost before he quickly started his car and drove off in a hurry.",Treasure Island Casino,Minnesota,MN,-92.649891,44.632285,-93.2650108,44.977753,True,True,0885/02/13,1,Night,Ghost (Male),Supernatural,"2,082",24.1,4.74,21.7%,5.5,7.7,1.5,3.7,53.0%,67.3%,65.2%,34.8%,87.3%,2.31%,50092.0,3.886,5.247,2.35,13512.714285714286,106.0,148123.35714285713,115.0,110.0,Near Average,1259.0,518.0,113.0,355.0,139.0,98.0,36.0,11.83,The_casino_is_located_about_1_hour_from_the_Minnea.png
Minneapolis,United States,"Washington Avenue Bridge - The Washington Avenue Bridge connects the east bank from the west bank which house separate portions of campus. There have been several suicides off of the bridge into the Mississippi river below, most often by students. Late at night if you walk through the tunnel you can sometimes hear footsteps following you. If you turn around they will stop, and then continue again when you start to move. Also, the University of Minnesota had to remove several flags from the bridge, because they were being ripped down by an unseen force. Even while under surveillance.",The University of Minnesota,Minnesota,MN,-93.2277285,44.97399,-93.2650108,44.977753,True,True,2022/01/01,2,Night,"Other (Male, student)",Suicide,"2,082",24.1,4.74,21.7%,5.5,7.7,1.5,3.7,53.0%,67.3%,65.2%,34.8%,87.3%,2.31%,50092.0,3.886,5.247,2.35,13512.714285714286,106.0,148123.35714285713,115.0,110.0,Near Average,1259.0,518.0,113.0,355.0,139.0,98.0,36.0,11.83,Washington_Avenue_Bridge___The_Washington_Avenue_B.png
Montgomery,United States,"Haunted by at least two ghosts. One of the ghosts is reported to be the ghost of the farmer that used to live on the current golf club grounds and is actually buried on the first hole. He will watch the clubhouse from various locations on the course as the employees lock up at night wearing a hat and overalls. The second ghost is of one of the Golf Club founders. He has been spotted sitting at the bar and peering in windows as, again, employees lock up at night. Televisions have turned on by themselves long after they have been turned off and the air conditioner dial will mysteriously turn itself down past 50 degrees without anyone touching it.",Montgomery Golf Club,Minnesota,MN,-93.576607,44.449988,-93.5813201,44.4383146,False,False,2050/03/13,4,Night,Ghost (Male),Supernatural,"2,082",24.1,4.74,21.7%,5.5,7.7,1.5,3.7,53.0%,67.3%,65.2%,34.8%,87.3%,2.31%,50092.0,3.886,5.247,2.35,13512.714285714286,106.0,148123.35714285713,115.0,110.0,Near Average,1259.0,518.0,113.0,355.0,139.0,98.0,36.0,11.83,Haunted_by_at_least_two_ghosts__One_of_the_ghosts.png
Moorhead,United States,it is believed to be the most haunted place in Moorhead Minnesota. Some say you can still hear and see the spirit of a young girl and boy who were killed outside the school on prom night as an oncoming semi truck hit them head on. you can see them dancing in their prom attire at night.,Moorhead High school,Minnesota,MN,-96.7428763,46.8720698,-96.7678039,46.8737648,True,True,2025/01/01,0,Night,Ghost (Male),Murder,"2,082",24.1,4.74,21.7%,5.5,7.7,1.5,3.7,53.0%,67.3%,65.2%,34.8%,87.3%,2.31%,50092.0,3.886,5.247,2.35,13512.714285714286,106.0,148123.35714285713,115.0,110.0,Near Average,1259.0,518.0,113.0,355.0,139.0,98.0,36.0,11.83,it_is_believed_to_be_the_most_haunted_place_in_Moo.png
Moorhead,United States,auditorium - A lady died of a heart attack and things like last year power went out and the sound of curtains shutting came from the ceiling and a bolt fell.,Moorhead High school,Minnesota,MN,-96.7428763,46.8720698,-96.7678039,46.8737648,True,False,2025/01/01,0,Unknown,Unknown (Male),Death,"2,082",24.1,4.74,21.7%,5.5,7.7,1.5,3.7,53.0%,67.3%,65.2%,34.8%,87.3%,2.31%,50092.0,3.886,5.247,2.35,13512.714285714286,106.0,148123.35714285713,115.0,110.0,Near Average,1259.0,518.0,113.0,355.0,139.0,98.0,36.0,11.83,auditorium___A_lady_died_of_a_heart_attack_and_thi.png
Moorhead,United States,"Weld Hall -  Weld Hall is the theater building on the collage. Many years back a worker at the theater fell down the winding metal staircase, in the back of the stage, he broke both of his legs and neck. His ghost has been seen dancing on the stage, without his legs.",Moorhead State University,Minnesota,MN,-96.7576325,46.8667538,-96.7678039,46.8737648,False,True,0534/07/13,1,Unknown,Ghost (Male),Supernatural,"2,082",24.1,4.74,21.7%,5.5,7.7,1.5,3.7,53.0%,67.3%,65.2%,34.8%,87.3%,2.31%,50092.0,3.886,5.247,2.35,13512.714285714286,106.0,148123.35714285713,115.0,110.0,Near Average,1259.0,518.0,113.0,355.0,139.0,98.0,36.0,11.83,Weld_Hall____Weld_Hall_is_the_theater_building_on.png
Mt. Iron,United States,somewhere off of Highway 7 there is a tree where a man had hung his two daughters and then hung himself. It has been reported that late at night the branches will be pushed down and shoot up and shake like something had fallen off of them. - October 2007 Update: They tore the haunted tree down because too many people were trespassing on the site.,Haunted Tree,Minnesota,MN,,,-92.623515,47.53242669999999,False,False,2025/03/07,2,Night,Ghost (Male),Accident,"2,082",24.1,4.74,21.7%,5.5,7.7,1.5,3.7,53.0%,67.3%,65.2%,34.8%,87.3%,2.31%,50092.0,3.886,5.247,2.35,13512.714285714286,106.0,148123.35714285713,115.0,110.0,Near Average,1259.0,518.0,113.0,355.0,139.0,98.0,36.0,11.83,somewhere_off_of_Highway_7_there_is_a_tree_where_a.png
New London,United States,Ey Witzke haunts this old railroad depot.,Old Depot House,Minnesota,MN,,,-94.9441773,45.3010756,False,False,2025/01/01,0,Unknown,Unknown (Male),Unknown,"2,082",24.1,4.74,21.7%,5.5,7.7,1.5,3.7,53.0%,67.3%,65.2%,34.8%,87.3%,2.31%,50092.0,3.886,5.247,2.35,13512.714285714286,106.0,148123.35714285713,115.0,110.0,Near Average,1259.0,518.0,113.0,355.0,139.0,98.0,36.0,11.83,Ey_Witzke_haunts_this_old_railroad_depot_.png
New York Mills,United States,Used to be an old general store. In the basement of the cultural center is where the store keeper went crazy and killed all of his family including himself. The man and his family are still seen as they where on that grizzly night.,New York Mills Regional Cultural Center,Minnesota,MN,-95.3756254,46.5186733,-95.3761465,46.518016,False,True,2025/01/01,1,Night,Unknown (Male),Murder,"2,082",24.1,4.74,21.7%,5.5,7.7,1.5,3.7,53.0%,67.3%,65.2%,34.8%,87.3%,2.31%,50092.0,3.886,5.247,2.35,13512.714285714286,106.0,148123.35714285713,115.0,110.0,Near Average,1259.0,518.0,113.0,355.0,139.0,98.0,36.0,11.83,Used_to_be_an_old_general_store__In_the_basement_o.png
