city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)",daylight_hours,Safe_Filename
Fischer,United States,If you go there at 12:00 to 2:00 you will see A ghost of a man hanging from a large oak tree that is found to the left of the main plaza. He was hung in the tree in the early 1800's for killing a sheriff's deputy. It is said his corps was left to hang until the buzzards picked him clean. You will also hear the wheels of the wagons that once past through.,Stage Stop Ranch,Texas,TX,,,-98.2658468,29.9768804,True,True,2025/03/13,0,Unknown,Ghost (Male),Supernatural,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,If_you_go_there_at_12_00_to_2_00_you_will_see_A_gh.png
Fort Bliss,United States,Many current and former members of the U.S. Army and Department of the Army civilian employees confirm stories of strange activities in one of the oldest remaining buildings on the Military Installation. One tale tells of an old Army Cavalry soldier seen in the upstairs window of the building on several occasions. Others tell of similar situations in which men and women are seen roaming the halls of the now unoccupied building. Building 4 was once used as a secondary morgue to hold the bodies of slain soldiers.,Building 4,Texas,TX,-106.4341504,31.81134549999999,-106.4213208,31.812438,False,True,2025/03/04,2,Unknown,"Other (Male, soldier)",Murder,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,Many_current_and_former_members_of_the_U_S__Army_a.png
Fort Bliss,United States,"Old stage is haunted with a feeling of desertion, clicking and unexplainable noises in the night. Many soldiers and visitors have died on the shooting ranges and adjacent trails. Come visit the tavern any evening, bring cameras.","MacGregor Range Asa P. Grey Recreation Center, ""Tumbleweed Tavern""",Texas,TX,,,-106.4213208,31.812438,True,True,2025/01/01,0,Evening,"Ghost (Male, soldier)",Death,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,Old_stage_is_haunted_with_a_feeling_of_desertion_.png
Fort Davis,United States,"There are ghosts of several soldiers there. The hospital walls are said to change color, and others have claimed to have actually seen specters in several places.",Fort Davis Historical Site,Texas,TX,-103.8941013,30.5997079,-103.8946253,30.5882111,False,True,2025/01/01,1,Unknown,"Ghost (Male, soldier)",Supernatural,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,There_are_ghosts_of_several_soldiers_there__The_ho.png
Fort Davis,United States,"There has been a ""presence"" felt in the hospital part of this fort, colds spots and a feeling of being watched.",The Hospital,Texas,TX,-103.670737,30.383996,-103.8946253,30.5882111,False,False,1971/03/13,0,Unknown,Ghost (Male),Unknown,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,There_has_been_a__presence__felt_in_the_hospital_p.png
Fort Hood,United States,"A soldier in PT uniform that appears in the early morning hours, skipping rocks across the lake. He seems to take no notice of you, and disappears when the sun starts to rise.",BLORA,Texas,TX,-97.5512961,31.1410166,-97.7413143,31.1950013,False,True,2025/03/16,0,Morning,"Other (Male, soldier)",Unknown,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,A_soldier_in_PT_uniform_that_appears_in_the_early.png
Fort Hood,United States,personnel working security late at night hear footsteps and doors opening and closing when no one is in the building.,III Corps Headquarters bldg,Texas,TX,-97.7413143,31.1950013,-97.7413143,31.1950013,True,False,2025/01/01,0,Night,Unknown (Male),Unknown,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,personnel_working_security_late_at_night_hear_foot.png
Fort Worth,United States,"Ghostly footsteps. Sounds of pages being turned, strange shadows on staircase and an apparition are also reported. Building is now an antique store.",Barbers Bookstore On 8th,Texas,TX,-97.3308523,32.7512519,-97.3307658,32.7554883,True,False,2025/01/01,1,Unknown,Ghost,Supernatural,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,Ghostly_footsteps__Sounds_of_pages_being_turned__s.png
Fort Worth,United States,"Brought from England - Apparitions of a man have been reported. - January 2004 additional information: They say a young man built this castle for his bride to be. The wedding was to be held in the newly finished house, but on the wedding day, the bride was found floating in the lake. No one was sure if she died accidentally or if foul play was involved ...But a few months later the groom married the dead woman's sister. Now, at night, the bride can be seen running from the house, across the road and towards the lake before disappearing. The actual history of the Castle is not quite as dramatic as the ghost stories it has spawned...but in case anyone is curious... The Castle was originally an 1860's rock farmhouse that was purchased in the 1920's by the Whitings. After extensive renovations and the addition of the round crenulated front wing and the rear tower the rambling mansion took on the look of a castle. It was completed in 1938 and Mrs. Whiting, who mostly supervised the renovation, named it ""Inverness"". The residence has seen several owners in the past and at one time Gary Stewart stayed there while filming a movie in the 1950's. In the not so distant past the castle was vacant for a long period of time and was in such disrepair it was on the verge of being condemned. It is now currently occupied and restored.",Castle,Texas,TX,-97.4753432,32.794352,-97.3307658,32.7554883,False,True,2025/05/13,1,Night,Ghost (Male),Murder,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,Brought_from_England___Apparitions_of_a_man_have_b.png
Fort Worth,United States,"Students say that the building was built on an old Indian burial ground. According to the rumor, if you go up the flight of steps that leads to the roof, you will hear voices that do not belong to anyone living.",Castleberry High School,Texas,TX,-97.392326,32.7625991,-97.3307658,32.7554883,True,False,2025/03/09,0,Unknown,"Unknown (Male, student)",Unknown,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,Students_say_that_the_building_was_built_on_an_old.png
Fort Worth,United States,"In the 1800's, this area of Ft. Worth was known as ""Hell's Half Acre"" because of its numerous saloons, brothels and gambling halls. Used to be a bathhouse in the 1800s where a man was shot in the head. His spirit roams the banquet halls and the upstairs bar.",Del Frisco's Steakhouse,Texas,TX,-97.3298447,32.7520394,-97.3307658,32.7554883,False,False,1981/03/13,0,Unknown,Ghost (Male),Murder,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,In_the_1800_s__this_area_of_Ft__Worth_was_known_as.png
Fort Worth,United States,"The zoo is home to more than just the exotic animals. the elephant keeper was crushed and killed in the elephant yard in the 1980s, is still seen near the elephant and zebra areas of the zoo. There is a woman who is dressed in a white dress and carries a parasol; walks slowly back and forth near the spot where the zoo cafe is. She dresses in attire from the late 19th century and no one knows who she is.",Fort Worth Zoo,Texas,TX,-97.3566895,32.7229695,-97.3307658,32.7554883,False,True,2025/01/01,1,Unknown,Unknown (Male),Murder,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,The_zoo_is_home_to_more_than_just_the_exotic_anima.png
Fort Worth,United States,Witnesses say at night you can see a woman out on a boat looking for her lost children with a lantern.,Lake Worth,Texas,TX,-97.4624776,32.8087304,-97.3307658,32.7554883,False,True,2025/05/13,0,Night,Unknown (Male),Unknown,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,Witnesses_say_at_night_you_can_see_a_woman_out_on.png
Fort Worth,United States,"When up in the top floor you can smell lilacs, people say that it is the perfume of a settler that was killed there. You can also hear doors slamming. Sometimes a evil spirit that resembles a man with a broken neck will scream and can be felt chasing you out of the building.",Log Cabin Village,Texas,TX,-97.36159,32.720224,-97.3307658,32.7554883,True,False,2025/03/19,0,Unknown,Ghost (Male),Murder,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,When_up_in_the_top_floor_you_can_smell_lilacs__peo.png
Fort Worth,United States,Some people have said that the Opera House right out side of Fort Worth is haunted. They don't know who it is but some people have said that you can hear screaming every once in a while.,Old Opera House,Texas,TX,-97.3270708,32.7560387,-97.3307658,32.7554883,True,False,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,Some_people_have_said_that_the_Opera_House_right_o.png
Fort Worth,United States,"The ghost of Tom Peters moves hats around. When they acquired the space of the former pizzeria, they may have acquired the ghost of the dishwasher, Jack Martin. Jack would baptize new employees with a good spray from the dishwasher.",Peters Bros. Hats 909 Houston,Texas,TX,-97.3298289,32.7514103,-97.3307658,32.7554883,False,False,2025/05/13,0,Unknown,Ghost (Male),Supernatural,"10,647",25.8,4.9,17.6%,5.6,9.0,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633.0,18.821,25.408,2.69,117468.57142857143,1298.7857142857142,950400.7142857144,123.0,111.0,Above Average,115.0,35.0,20.0,22.0,9.0,21.0,8.0,11.92,The_ghost_of_Tom_Peters_moves_hats_around__When_th.png
