city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)",daylight_hours,Safe_Filename
Amidon,United States,"Not only a fine place to dine, Georgia's and the Owl is home to several paranormal activities.  A little boy has been reported to run around the restaurant, playing and bumping into people.  Occasionally, music and voices can be heard.  Potato chip bags clipped to a rack have been found strewn about the floor when the restaurant was opened for the day.  A local team of investigators has conducted extensive investigations here and has recorded some strange muttering voices.",Georgia's and the Owl,North Dakota,ND,-103.3211637,46.4826789,-103.3218466,46.4822327,True,False,2025/01/01,2,Unknown,Unknown (Male),Supernatural,347,25.6,5.85,22.7%,5.9,9.4,1.8,4.2,58.2%,70.3%,62.2%,37.8%,82.1%,2.59%,8898.0,0.4876,0.6583,1.89,1246.0,13.714285714285714,13635.714285714286,111.0,102.0,Near Average,444.0,186.0,7.0,124.0,38.0,86.0,3.0,11.88,Not_only_a_fine_place_to_dine__Georgia_s_and_the_O.png
Anamoose,United States,"This is now a bed and breakfast, but used to be the first school house in North Dakota, in the early 1800's. It is said that at one time there was a fire started by a coal burning stove in which the Superintendent(who smoked cigars) died in along with a young school boy. When the people that turned the old school into the bed and breakfast begin tearing down things that needed repair things started happening such as objects vanishing and moaning. Lights flickering on and off and a light would turn on in the cellar that when you used the switch to turn it off it would not go off. Also when working one day the smelled cigar smoke, neither of them being smokers went to see what it was. In the cellar there was smoke in the air, cigar smoke coming from a cigar that was still hot. Once they started putting things back things gradually got better. Witnesses report feelings of being watched and there's cold spots and sometimes the hair stands up on the back of your neck.",Sage Hill Bed and Breakfast,North Dakota,ND,-100.1357734,47.8908538,-100.241246,47.8825008,True,True,1800/01/01,0,Unknown,Other (Male),Accident,347,25.6,5.85,22.7%,5.9,9.4,1.8,4.2,58.2%,70.3%,62.2%,37.8%,82.1%,2.59%,8898.0,0.4876,0.6583,1.89,1246.0,13.714285714285714,13635.714285714286,111.0,102.0,Near Average,444.0,186.0,7.0,124.0,38.0,86.0,3.0,11.88,This_is_now_a_bed_and_breakfast__but_used_to_be_th.png
Belcourt,United States,"It has been said that a long time ago a fire was at the school  and a couple of people had died there ,kids have said to have said to have seen a man dressed really old clothes holding his hat down and looking at the ground in a shocked sort of way, also people have said to have turned the lights off while going to the bath room and when they were done they found the lights back on and they never heard anything.",Belcourt School,North Dakota,ND,-99.7858678,48.8069997,-99.7448689,48.8391712,True,True,2025/01/01,4,Unknown,Unknown (Male),Accident,347,25.6,5.85,22.7%,5.9,9.4,1.8,4.2,58.2%,70.3%,62.2%,37.8%,82.1%,2.59%,8898.0,0.4876,0.6583,1.89,1246.0,13.714285714285714,13635.714285714286,111.0,102.0,Near Average,444.0,186.0,7.0,124.0,38.0,86.0,3.0,11.88,It_has_been_said_that_a_long_time_ago_a_fire_was_a.png
Bismarck,United States,"It has been said that about 10 years or more ago, a janitor had died of natural causes in the middle of the night while cleaning and was found the next morning. Since then, strange occurrences have happened with nobody being in control of them. At night there are weird noises and your hair on the back of your neck stands up. This especially happens when you are there alone. A woman chef that used to work there around the same time as the janitor has since passed away and has been spotted in the kitchen and could also be a part of the occurrences.",Apple Creek Country Club,North Dakota,ND,-100.6512074,46.8073722,-100.7837392,46.8083268,True,False,2020/03/13,0,Morning,Other (Male),Death,347,25.6,5.85,22.7%,5.9,9.4,1.8,4.2,58.2%,70.3%,62.2%,37.8%,82.1%,2.59%,8898.0,0.4876,0.6583,1.89,1246.0,13.714285714285714,13635.714285714286,111.0,102.0,Near Average,444.0,186.0,7.0,124.0,38.0,86.0,3.0,11.88,It_has_been_said_that_about_10_years_or_more_ago_.png
Cannonball,United States,"people say there was a man about 6'0"" feet tall wearing a black trench coat and had hoofs with a hat on he walked in and said I know you all and walked in the bathroom and around the corner there was a tail slide around the corner even though there is no windows in the cowboys bathroom he never came back out and when someone went in there, no one was in there??",Kelly’s bar,North Dakota,ND,-100.5880684,46.3951509,-100.5940114,46.3894387,False,False,2025/01/01,0,Unknown,Unknown (Male),Unknown,347,25.6,5.85,22.7%,5.9,9.4,1.8,4.2,58.2%,70.3%,62.2%,37.8%,82.1%,2.59%,8898.0,0.4876,0.6583,1.89,1246.0,13.714285714285714,13635.714285714286,111.0,102.0,Near Average,444.0,186.0,7.0,124.0,38.0,86.0,3.0,11.88,people_say_there_was_a_man_about_6_0__feet_tall_we.png
Dickinson,United States,"There have been many reports of toilets flushing by themselves and the feeling of being watched/followed by workers in the early morning hours. The ghost is said to be that of a doctor who went on a fishing trip, but never returned. He is believed to have drowned on that fateful trip.","Ear, Nose and Throat Clinic",North Dakota,ND,-102.8208541,46.88924129999999,-102.7896242,46.8791756,False,False,2025/03/19,0,Morning,"Ghost (Male, doctor)",Accident,347,25.6,5.85,22.7%,5.9,9.4,1.8,4.2,58.2%,70.3%,62.2%,37.8%,82.1%,2.59%,8898.0,0.4876,0.6583,1.89,1246.0,13.714285714285714,13635.714285714286,111.0,102.0,Near Average,444.0,186.0,7.0,124.0,38.0,86.0,3.0,11.88,There_have_been_many_reports_of_toilets_flushing_b.png
Dickinson,United States,"There are reports that a figure can be seen walking the mall after hours. One story goes that a police officer was making his rounds in his vehicle and saw someone inside in the mall. When he went to investigate, he could find no one.",Praire Hills Mall,North Dakota,ND,-102.7924956,46.9009617,-102.7896242,46.8791756,False,True,2025/01/01,1,Unknown,"Other (Male, officer)",Unknown,347,25.6,5.85,22.7%,5.9,9.4,1.8,4.2,58.2%,70.3%,62.2%,37.8%,82.1%,2.59%,8898.0,0.4876,0.6583,1.89,1246.0,13.714285714285714,13635.714285714286,111.0,102.0,Near Average,444.0,186.0,7.0,124.0,38.0,86.0,3.0,11.88,There_are_reports_that_a_figure_can_be_seen_walkin.png
Dickinson,United States,"It is said that the elevator door leading to the morgue often opens by itself at night. The key is that the doors can only be activated from the inside of the morgue. The area near the cafeteria is also said be haunted. A soft, eerie moan can sometimes be heard coming from the area late at night. There are reports of the nurse's call button being pressed late at night on the third floor in unoccupied rooms. The voices of children laughing and running can often be heard in the old section of the admin offices from the basement.",St Joseph’s Hospital,North Dakota,ND,-102.8208291,46.8891318,-102.7896242,46.8791756,True,False,2025/01/01,1,Night,"Ghost (Male, nurse)",Supernatural,347,25.6,5.85,22.7%,5.9,9.4,1.8,4.2,58.2%,70.3%,62.2%,37.8%,82.1%,2.59%,8898.0,0.4876,0.6583,1.89,1246.0,13.714285714285714,13635.714285714286,111.0,102.0,Near Average,444.0,186.0,7.0,124.0,38.0,86.0,3.0,11.88,It_is_said_that_the_elevator_door_leading_to_the_m.png
Dunseith,United States,"a camp once used as a reform ranch for boys, there are reports of hearing laughter in the trees where a boy hung himself after he and 4 other campers murdered the councilors/owners of the camp. there is also a feeling of being watched or chased thought the trees.",Camp Mondak,North Dakota,ND,-103.6297705,48.145016,-100.0609678,48.8130569,True,False,2025/03/04,0,Unknown,Other (Male),Murder,347,25.6,5.85,22.7%,5.9,9.4,1.8,4.2,58.2%,70.3%,62.2%,37.8%,82.1%,2.59%,8898.0,0.4876,0.6583,1.89,1246.0,13.714285714285714,13635.714285714286,111.0,102.0,Near Average,444.0,186.0,7.0,124.0,38.0,86.0,3.0,11.88,a_camp_once_used_as_a_reform_ranch_for_boys__there.png
Dunseith,United States,There was a sound of babyies crying. Also when you go there you can sometimes even see them in the windows. It is known to be very scary around Dunseith.,San Haven,North Dakota,ND,-100.0609678,48.8130569,-100.0609678,48.8130569,True,True,2025/01/01,0,Unknown,Unknown (Male),Unknown,347,25.6,5.85,22.7%,5.9,9.4,1.8,4.2,58.2%,70.3%,62.2%,37.8%,82.1%,2.59%,8898.0,0.4876,0.6583,1.89,1246.0,13.714285714285714,13635.714285714286,111.0,102.0,Near Average,444.0,186.0,7.0,124.0,38.0,86.0,3.0,11.88,There_was_a_sound_of_babyies_crying__Also_when_you.png
