city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)",daylight_hours,Safe_Filename
Broad Top,United States,"Statue at Mockingbird Hill, said to ""yodel"" and glow at night. Sights of a small dog called ""Binks"" roams the woods.",Broad Top Cemetery,Pennsylvania,PA,-78.1411682,40.2018265,-78.14084079999999,40.2023022,False,False,2025/01/01,0,Night,Unknown (Male),Unknown,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Statue_at_Mockingbird_Hill__said_to__yodel__and_gl.png
Bryn Mawr,United States,"A student, Lillian, haunts Merion Hall. She went here in the beginning of this century. She believed she had leprosy, although the doctors could find nothing wrong with her. To cure herself, she took a bath in kerosene, and knocked a lantern in to the bathtub. She is said to have run screaming in flames down the hall.",Bryn Mawr College,Pennsylvania,PA,-75.3152341,40.0281065,-75.3151772,40.0230237,False,False,1885/03/13,0,Unknown,"Unknown (Male, student)",Unknown,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,A_student__Lillian__haunts_Merion_Hall__She_went_h.png
Bucks County,United States,located 15 miles Southeast of Newton - a ghost of a woman has been reported to haunt Tyler Hall on the campus. The ghost is believed to be the ghost of the former administrator Stella Tyler.,Bucks County Community College,Pennsylvania,PA,-74.96714899999999,40.2390553,-75.2479061,40.4107964,False,False,1964/03/13,1,Unknown,Ghost (Male),Supernatural,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,located_15_miles_Southeast_of_Newton___a_ghost_of.png
Bucks County,United States,The remains of a physically abusive school teacher were found in the school house a hundred years after his death. The entire road is haunted. Mysterious lights have been reported flickering and moving around.,Dark Hallow Road,Pennsylvania,PA,-75.052739,40.2635705,-75.2479061,40.4107964,False,False,2025/01/01,1,Unknown,"Ghost (Male, teacher)",Death,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,The_remains_of_a_physically_abusive_school_teacher.png
Bucks County,United States,Warminster Volunteer Ambulance Corps - Sounds of doors opening when there is no one around to open the doors. Moans coming from the ambulance bays. Faces of people in the back of the ambulances. Lights hooked up to light sensors going on when there is no one in the room to turn them on.,Warminster,Pennsylvania,PA,-75.099807,40.2067884,-75.2479061,40.4107964,True,False,2021/03/13,0,Unknown,Unknown (Male),Violence,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Warminster_Volunteer_Ambulance_Corps___Sounds_of_d.png
BUckingham,United States,Located 2 blocks from Holicong Road - An old man is seen walking up and down the road and a glowing light comes out of the woods hovers over the road then disappears back into the woods.,Hansell Road,Pennsylvania,PA,-75.08868149999999,40.3457905,-75.0494329,40.3149535,False,True,2025/03/02,1,Unknown,Unknown (Male),Unknown,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Located_2_blocks_from_Holicong_Road___An_old_man_i.png
Colwyn,United States,"Haunted by a Indian Princess who was killed during an electrical storm. Her body was never found, but there are burnt outlines of a person on the side of the rock. When you go into the park passed the rock, you smell herbs and feel a chocking sensation on your neck; as well as icy cold hands, scratches and rashes, and even bruises. Town people state that the story goes that Princess Anne's father refused to let her marry an English man and her ghost is very angry at who ever trespasses into the woods.",Anne's Rock,Pennsylvania,PA,,,-75.253794,39.9123351,False,False,2025/01/01,0,Unknown,Ghost (Male),Murder,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Haunted_by_a_Indian_Princess_who_was_killed_during.png
Conneaut,United States,"During a fire in the early 1900's, a young bride named Elizabeth was killed while trying to escape from room 321 on the third floor. Her ghost has been seen walking down a narrow hallway on that same floor. Ironically enough, the fire escape is located at the end of the hall. Elizabeth seems to be a likable spirit though. She has been known to help employees by moving things around in various rooms. People have also reported seeing ghostly figures dancing in the ballroom, which is located on the first floor. Their origin is unknown.",Conneaut Lake Hotel,Pennsylvania,PA,-80.314221,41.632934,-80.30534159999999,41.6033874,False,True,0321/03/13,4,Unknown,Ghost (Male),Murder,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,During_a_fire_in_the_early_1900_s__a_young_bride_n.png
Conneaut Lake,United States,A hotel in an amusement park. It caught on fire and a young bride named Elizabeth was killed. they say that she is still seen in the hotel.,Hotel Conneaut,Pennsylvania,PA,-80.314221,41.632934,-80.30534159999999,41.6033874,False,True,2025/01/01,1,Unknown,Unknown (Male),Murder,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,A_hotel_in_an_amusement_park__It_caught_on_fire_an.png
Corry,United States,At night you can hear the voices of children & children's hand prints on your vehicle if you just drive out there.,Tamarax swamp,Pennsylvania,PA,-79.5589391,41.9975889,-79.6403287,41.9203337,True,False,2025/01/01,0,Night,Unknown (Male),Unknown,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,At_night_you_can_hear_the_voices_of_children___chi.png
Torrance,United States,"The grounds of this old hospital are believed to be haunted. People have claimed to see former residents roaming the grounds and buildings. Elevators have even been known to open at will along with slamming doors. - !!!WARNING!!!! The elevators are no longer there and also, only one door, which is lodged shut with a board. - Loud noises heard when walking through. Things happening to cars. i.e. windshield wipers being turned upside down. An overall cold and bad feeling about the place. The basement has an eerie feel to it, very cold in the room with the furnace. If you dare you can try to walk around the second floor (which there is no elevator to only a stair case that is missing many steps) the floor is very thin in the second floor so be careful not to fall through and get hurt) - Update: There is a story of a little girl who'd been born by a woman residing in the hospital. One day, the girl came to visit her mother and it was reported that she had been murdered by security officers, or something of the like. This was said to have happened in the mortuary of the building. Her ghost is said to run the halls near the mortuary, giggling and laughing, as if she were playing a hide and seek game, also said to be looking for her mother. Another story is that an upstairs room is haunted by an old woman who resided in a room at the end of the hall. This room was the only ""private"" room, with door, and the only with a balcony entrance. If you enter this room, it’s said that you can hear her rocking in her chair.",The Old Torrance State Mental Hospital,Pennsylvania,PA,-79.24018099999999,40.4165697,-79.2228123,40.4172913,True,True,2025/01/01,2,Unknown,"Ghost (Male, officer)",Murder,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,The_grounds_of_this_old_hospital_are_believed_to_b.png
