Filename,Detected Objects
Building_21___This_is_the_building_where_John_Wilk.png,"palace (0.37), dome (0.10), church, church building (0.06), castle (0.06), cinema, movie theater, movie theatre, movie house, picture palace (0.04)"
This_place_was_an_old_orphanage__Then_it_became_a.png,"palace (0.46), library (0.20), window shade (0.04), bookshop, bookstore, bookstall (0.04)"
This_was_a_World_War_Two_Factory_active_to_make_P_.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.35), coil, spiral, volute, whorl, helix (0.10), prison, prison house (0.08), turnstile (0.06), streetcar, tram, tramcar, trolley, trolley car (0.03)"
friendly_spirits_named_Minerva_and_Esmerelda_watch.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
Kirby_Hall___It_is_said_to_be_haunted_by_the_ghost.png,"palace (0.89), castle (0.05)"
Michael_Energy_Factory_Daycare___it_said_that_buil.png,"slot, one-armed bandit (0.99)"
Many_voices_can_be_heard_and_cold_winds_can_be_fel.png,"worm fence, snake fence, snake-rail fence, Virginia fence (0.31), prison, prison house (0.18), picket fence, paling (0.14), bannister, banister, balustrade, balusters, handrail (0.04)"
There_have_been_sightings_of_the_ghost_of_the_Leni.png,"comic book (0.53), book jacket, dust cover, dust jacket, dust wrapper (0.19), packet (0.03), scoreboard (0.02), brass, memorial tablet, plaque (0.02)"
Rotunda___Worker_killed_there_is_seen_floating_aro.png,"dome (0.55), magnetic compass (0.03), analog clock (0.03), palace (0.02)"
its_a_huge_wooded_area_by_oak_street_school_were_m.png,"doormat, welcome mat (0.47), prayer rug, prayer mat (0.12), wallet, billfold, notecase, pocketbook (0.04), book jacket, dust cover, dust jacket, dust wrapper (0.02)"
Shadows_are_seen_and_voices_are_heard_in_the_centu.png,"shoji (0.87), window shade (0.02)"
on_Bens_Lane__a_dirt_road__toward_the_end_of_the_r.png,"chainlink fence (0.64), suspension bridge (0.14), dam, dike, dyke (0.06), worm fence, snake fence, snake-rail fence, Virginia fence (0.03), viaduct (0.02)"
The_Newborn_Nursery_is_haunted_by_a_woman_in_white.png,"crib, cot (0.95), cradle (0.03)"
Old_Protestant_Church___The_ghost_of_a_man_who_was.png,"church, church building (0.93)"
An_elderly_woman_s_voice_is_often_heard_here_.png,"book jacket, dust cover, dust jacket, dust wrapper (0.28), whiskey jug (0.10), packet (0.09), comic book (0.07), puck, hockey puck (0.05)"
