Filename,Detected Objects
People_have_been_known_to_hear_strange_sounds_whil.png,"binder, ring-binder (0.04), book jacket, dust cover, dust jacket, dust wrapper (0.04), puck, hockey puck (0.04), West Highland white terrier (0.03), comic book (0.03)"
In_the_1960_s_the_second_floor_was_rented_as_apart.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.83), scoreboard (0.05), analog clock (0.02)"
different_ones______DANGER_WARNING______visitors_r.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
haunted_by_many_different_spirits__including_that.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
The_Cedars_is_a_retirement_center__one_of_the_past.png,"mobile home, manufactured home (0.08), boathouse (0.06), lakeside, lakeshore (0.04), scoreboard (0.04), monitor (0.03)"
Located_on_Colville_Road__Haunted_by_young_girl_wh.png,"boathouse (0.35), mobile home, manufactured home (0.25), picket fence, paling (0.04), beacon, lighthouse, beacon light, pharos (0.03), barn (0.02)"
Many_teenagers_in_Casper_have_visited_the_Townsend.png,"monastery (0.06), church, church building (0.05), prison, prison house (0.03), palace (0.03), castle (0.02)"
University_of_Wyoming___Knight_Hall___Second_Floor.png,"prison, prison house (0.71), passenger car, coach, carriage (0.07)"
Once_the_original_Carnegie_Library_this_building_n.png,"television, television system (0.38), screen, CRT screen (0.11), monitor (0.07), entertainment center (0.05), web site, website, internet site, site (0.02)"
at_the_top_of_the_mountain_some_nights_you_can_see.png,"microwave, microwave oven (0.38), stove (0.06), hand-held computer, hand-held microcomputer (0.04), fire screen, fireguard (0.03), space heater (0.02)"
The_Moore_Building____The_Moore_Building_has_many.png,"palace (0.78), cinema, movie theater, movie theatre, movie house, picture palace (0.06)"
In_a_room_on_the_first_floor_that_was_numbered_13.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
The_Donaldson_mansion_was_a_quite_home_until_somet.png,"comic book (0.78), slot, one-armed bandit (0.04), book jacket, dust cover, dust jacket, dust wrapper (0.02)"
closed_school_in_Ashipunn__Wisconsin_on_Hwy_O__Sch.png,"mobile home, manufactured home (0.92), boathouse (0.03)"
Weird_apparitions_of_light_and_ghostly_figures_hav.png,"spotlight, spot (0.38), matchstick (0.34), torch (0.07), candle, taper, wax light (0.03), projector (0.02)"
North_side___The_distance_is_a_mere_1_5_miles_betw.png,"doormat, welcome mat (0.16), comic book (0.07), book jacket, dust cover, dust jacket, dust wrapper (0.06), picket fence, paling (0.06), prayer rug, prayer mat (0.03)"
In_the_bottom_of_the_Railroad_Museum_there_is_an_o.png,"digital watch (0.62), digital clock (0.15), stopwatch, stop watch (0.04), cassette player (0.03), scoreboard (0.02)"
On_first_floor_near_the_old_morgue__you_can_hear_s.png,"accordion, piano accordion, squeeze box (0.75), fire screen, fireguard (0.05), safe (0.02)"
It_has_been_said_that_in_the_girls_bathroom_in_the.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
Pfeiffer_Hall_room_245___there_is_said_to_be_a_gho.png,palace (0.92)
A_graveyard_filled_with_graves_that_date_back_to_t.png,"dam, dike, dyke (0.13), maze, labyrinth (0.12), folding chair (0.09), patio, terrace (0.09), container ship, containership, container vessel (0.04)"
Cowboy_Bar___Footsteps__when_no_one_in_there__Glas.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
Milwaukee_Country_Club___Spirit_pats_people_on_the.png,"lakeside, lakeshore (0.22), worm fence, snake fence, snake-rail fence, Virginia fence (0.07), planetarium (0.04), golf ball (0.03), croquet ball (0.03)"
College_students_and_teachers_reported_seeing_a_ch.png,"file, file cabinet, filing cabinet (0.20), scoreboard (0.08), pole (0.05), prison, prison house (0.03), library (0.03)"
