Filename,Detected Objects
A_woman_wearing_an_older_nurse_outfit_is_said_to_r.png,"cardigan (0.10), prison, prison house (0.08), kimono (0.06), ballplayer, baseball player (0.04), shoji (0.02)"
7_miles_outside_of_Elberton__Georgia_stands_the_Ge.png,"boathouse (0.54), barn (0.06), picket fence, paling (0.05), flagpole, flagstaff (0.04), church, church building (0.03)"
You_go_there_and_you_can_hear_footsteps_of_people.png,"prison, prison house (0.15), vault (0.09), church, church building (0.07), bannister, banister, balustrade, balusters, handrail (0.05), parking meter (0.05)"
In_the_old_mine_there_was_a_big_rock_fall_in_1890_.png,"brass, memorial tablet, plaque (0.77), book jacket, dust cover, dust jacket, dust wrapper (0.04), comic book (0.02)"
In_the_Engineering_space_where_the_ship_was_hit_if.png,"window shade (0.36), passenger car, coach, carriage (0.05), library (0.04), cinema, movie theater, movie theatre, movie house, picture palace (0.03), wallet, billfold, notecase, pocketbook (0.03)"
There_are_nine_ghosts_and_one_is_a_little_girl_who.png,"lighter, light, igniter, ignitor (0.14), coffee mug (0.05), ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.04), jersey, T-shirt, tee shirt (0.03), packet (0.02)"
Just_at_the_top_of_the_hill_and_the_road_that_lead.png,"snowplow, snowplough (0.39), snowmobile (0.20), dogsled, dog sled, dog sleigh (0.08), ski (0.03), alp (0.03)"
Ghost_Native_Americans_have_been_seen_dancing___ch.png,"ski mask (0.13), holster (0.06), comic book (0.06), running shoe (0.05), revolver, six-gun, six-shooter (0.05)"
Library___It_is_said_that_there_is_a_ghost_in_the.png,"scoreboard (0.28), Windsor tie (0.12), abacus (0.04), brass, memorial tablet, plaque (0.03), oscilloscope, scope, cathode-ray oscilloscope, CRO (0.02)"
All_faucets_in_bathrooms_will_turn_on_automaticall.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
The_cemetery_beside_the_church_is_supposed_to_be_h.png,"pedestal, plinth, footstall (0.54), mailbox, letter box (0.04), binoculars, field glasses, opera glasses (0.04), obelisk (0.04), sundial (0.03)"
The_This_school_s_most_haunted_place_is_the_third.png,"palace (0.09), boathouse (0.08), park bench (0.04), streetcar, tram, tramcar, trolley, trolley car (0.04), flagpole, flagstaff (0.04)"
This_place_is_known_to_be_extremly_haunted_sounds.png,"scoreboard (0.45), book jacket, dust cover, dust jacket, dust wrapper (0.08), comic book (0.06), digital clock (0.04), pillow (0.02)"
A_woman_named_Irma_haunts_this_place__She_lived_in.png,"picket fence, paling (0.28), church, church building (0.15), palace (0.08), boathouse (0.04), window screen (0.03)"
Reports_of_odd_blue_and_red_lights_being_seen_at_n.png,"prison, prison house (0.20), totem pole (0.19), library (0.05), traffic light, traffic signal, stoplight (0.05), pole (0.04)"
The_International_is_said_to_be_haunted_by_a_ghost.png,"palace (0.95), castle (0.02)"
This_haunted_neighborhood_has_been_written_about_i.png,"birdhouse (0.26), boathouse (0.23), church, church building (0.07), jigsaw puzzle (0.04), barn (0.04)"
Mitchell_Bridge___There_was_a_guy_that_was_buried.png,"barn (0.66), mobile home, manufactured home (0.13), boathouse (0.06)"
Mokihana_Dormitory___A_young_man_committed_suicide.png,"comic book (0.61), book jacket, dust cover, dust jacket, dust wrapper (0.06), binder, ring-binder (0.05), packet (0.04), envelope (0.03)"
The_ghost_of_a_woman_is_seen__Also_a_baby_crying_c.png,"comic book (0.65), book jacket, dust cover, dust jacket, dust wrapper (0.07), cassette (0.02)"
This_Road_is_known_by_many_to_be_haunted__Some_hav.png,"bath towel (0.03), Persian cat (0.03), traffic light, traffic signal, stoplight (0.02), valley, vale (0.02), dam, dike, dyke (0.02)"
Colgate_building___A_dark_male_figure_with_a_hat_s.png,"street sign (0.26), analog clock (0.04), wall clock (0.04), hook, claw (0.03), picket fence, paling (0.03)"
The_hotel_is_very_old_but_has_had_at_least_4_milli.png,"palace (0.77), lakeside, lakeshore (0.02)"
Rumor_has_it_that_while_the_railroads_were_booming.png,"book jacket, dust cover, dust jacket, dust wrapper (0.36), comic book (0.10), library (0.09), cinema, movie theater, movie theatre, movie house, picture palace (0.06), church, church building (0.03)"
The_Murder_House___Now_a_Frat_House___The_house__l.png,"palace (0.31), boathouse (0.09), bell cote, bell cot (0.04), castle (0.03), lakeside, lakeshore (0.02)"
In_the_1960_s__five_Winooski_High_School_students.png,"sweatshirt (0.23), stethoscope (0.10), jersey, T-shirt, tee shirt (0.05), drumstick (0.03), hair spray (0.03)"
People_have_seen_the_little_girl_that_died_there_a.png,"wardrobe, closet, press (0.30), file, file cabinet, filing cabinet (0.27), chiffonier, commode (0.16), chest (0.03)"
Six_Flags_Over_Georgia_Railroad___It_is_believed_t.png,"passenger car, coach, carriage (0.48), school bus (0.09), electric locomotive (0.08), streetcar, tram, tramcar, trolley, trolley car (0.07), steam locomotive (0.03)"
There_is_also_a_women_whom_wears_a_white_dress_tha.png,"hoopskirt, crinoline (0.63), gown (0.12), overskirt (0.05)"
A_lady_s_body_was_found_by_the_Alpharetta_police_d.png,"unicycle, monocycle (0.22), bicycle-built-for-two, tandem bicycle, tandem (0.06), racer, race car, racing car (0.04), mountain bike, all-terrain bike, off-roader (0.03), minivan (0.02)"
In_the_middle_school_where_many_students_attuned_a.png,"comic book (0.06), window screen (0.06), church, church building (0.05), tray (0.05), prayer rug, prayer mat (0.03)"
Indian_Rock_Road_is_a_dark_and_wooded_road_about_f.png,"prayer rug, prayer mat (0.92), swab, swob, mop (0.02)"
Mary_Moody_Northern_Theatre___Reports_of_a_shadow.png,"theater curtain, theatre curtain (0.29), stage (0.19), basketball (0.03), altar (0.03), pedestal, plinth, footstall (0.03)"
_The_Regular__Bill_Wolcott_was_an_older_gentleman.png,"comic book (0.78), book jacket, dust cover, dust jacket, dust wrapper (0.06), mask (0.05)"
The_old_library_seems_to_be_haunted_by_a_woman_in.png,"backpack, back pack, knapsack, packsack, rucksack, haversack (0.57), library (0.13), bookcase (0.04), prayer rug, prayer mat (0.03), comic book (0.03)"
Go_down_Zazamora_after_you_pass_Loop_410_keep_goin.png,"park bench (0.06), chainlink fence (0.05), rapeseed (0.05), snowplow, snowplough (0.05), trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.04)"
Foot_steps_in_empty_halls__breathing_over_your_sho.png,"harp (0.84), bannister, banister, balustrade, balusters, handrail (0.02)"
Dubuis_Hall______a_former_nun_is_said_to_haunt_stu.png,"projector (0.09), digital clock (0.05), carton (0.04), digital watch (0.04), mouse, computer mouse (0.03)"
Many_ghosts_have_been_seen_on_the_grounds_of_Coman.png,"boathouse (0.19), palace (0.18), lakeside, lakeshore (0.13), monastery (0.04), church, church building (0.03)"
Two_identical_churches_sit_side_by_side__hence_the.png,"church, church building (0.97)"
In_the_1940_s__a_china_couple_moved_in_there__The.png,"palace (0.46), monastery (0.11), castle (0.07), church, church building (0.06), lakeside, lakeshore (0.02)"
A_witness_reports____while_on_the_top_of_this_bluf.png,"menu (0.23), brass, memorial tablet, plaque (0.18), scoreboard (0.07), web site, website, internet site, site (0.05), bulletproof vest (0.03)"
For_nearly_a_century_there_have_been_reports_of_lo.png,"palace (0.34), boathouse (0.10), beacon, lighthouse, beacon light, pharos (0.04), mosque (0.04), prison, prison house (0.04)"
Box_Elder_Middle_School___In_the_girls_locker_room.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.15), library (0.06), mobile home, manufactured home (0.05), prison, prison house (0.03), dam, dike, dyke (0.03)"
A_smell_of_flowers_or_bubble_gum_can_be_smelt_arou.png,"wallet, billfold, notecase, pocketbook (0.19), slot, one-armed bandit (0.06), hair slide (0.04), theater curtain, theatre curtain (0.04), chest (0.03)"
this_park_is_located_on_Manacaha_rd_next_to_Crocke.png,"howler monkey, howler (0.50), spider monkey, Ateles geoffroyi (0.42), capuchin, ringtail, Cebus capucinus (0.02)"
The_Lady_has_been_at_this_hotel_for_years__The_hot.png,"palace (0.35), boathouse (0.05), gondola (0.05), monastery (0.02), bearskin, busby, shako (0.02)"
Hearing_mumbling_voices__body_paralyzed__and_your.png,"television, television system (0.21), monitor (0.09), window screen (0.07), web site, website, internet site, site (0.04), screen, CRT screen (0.04)"
across_from_the_courthouse_there_is_a_store_that_i.png,"book jacket, dust cover, dust jacket, dust wrapper (0.37), street sign (0.23), prayer rug, prayer mat (0.18), shield, buckler (0.05), comic book (0.02)"
The_Idaho_Ghost_Hunters_say_that_Ammon_Park_is_hau.png,"buckle (0.17), puck, hockey puck (0.06), loupe, jeweler's loupe (0.04), hook, claw (0.04), tray (0.03)"
haunted_by_the_spirit_of_a_chambermaid_who_was_kil.png,"binoculars, field glasses, opera glasses (1.00)"
a_presence_of_a_male_has_been_felt_.png,"barn (0.81), worm fence, snake fence, snake-rail fence, Virginia fence (0.04), boathouse (0.03)"
Girls_Locker_Room_Delaney_Hall___Witnesses_have_se.png,"vending machine (0.89), slot, one-armed bandit (0.05), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.02)"
Formerly_known_as_the_Early_Hill_Plantation__this.png,"boathouse (0.24), church, church building (0.23), barn (0.06), palace (0.04), bell cote, bell cot (0.04)"
level_3_the_third_cell_many_girls_claimed_to_see_a.png,"vending machine (0.26), jigsaw puzzle (0.12), computer keyboard, keypad (0.07), slot, one-armed bandit (0.03), space bar (0.03)"
There_is_a_legend_of_when_a_baby_fell_out_of_it_s.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
Years_ago_a_rock_singer_was_killed_on_stage_by_a_g.png,"comic book (0.30), power drill (0.15), cassette (0.07), mousetrap (0.05), slot, one-armed bandit (0.04)"
This_university_is_said_to_carry_ageless_stories_o.png,"maze, labyrinth (0.34), cinema, movie theater, movie theatre, movie house, picture palace (0.14), doormat, welcome mat (0.11), prayer rug, prayer mat (0.02), church, church building (0.02)"
South_end___On_stormy_nights__island_folk_have_rep.png,jigsaw puzzle (0.87)
this_school_has_rumors_of_a_teacher_tortured_and_k.png,"slot, one-armed bandit (0.43), comic book (0.09), scoreboard (0.06), monitor (0.03), vending machine (0.02)"
This_abandoned_labor_camp_was_once_used_for_Chines.png,"prison, prison house (0.91)"
It_is_believed_that_a_number_of_ghosts_roam_the_ha.png,"monastery (0.15), pedestal, plinth, footstall (0.15), palace (0.12), bell cote, bell cot (0.11), church, church building (0.06)"
This_abandoned_manor_house_was_the_scene_of_a_doub.png,"window screen (0.29), window shade (0.15), prison, prison house (0.05), palace (0.05), vault (0.04)"
Farm_road_511_is_a_fairly_well_traveled_road__but.png,"maze, labyrinth (0.29), greenhouse, nursery, glasshouse (0.07), rapeseed (0.05), worm fence, snake fence, snake-rail fence, Virginia fence (0.04), palace (0.02)"
The_mansion_was_built_in_1838_and_is_said_to_he_ha.png,"palace (0.35), prayer rug, prayer mat (0.20), mosque (0.04), monastery (0.03), church, church building (0.02)"
Strange_noises__Bright_lights__Graves_Glow_in_pict.png,"scoreboard (0.82), slot, one-armed bandit (0.06), digital clock (0.02)"
Several_rooms_and_guest_houses_are_said_to_be_haun.png,"prison, prison house (0.65), cinema, movie theater, movie theatre, movie house, picture palace (0.13), monastery (0.05)"
When_you_first_walk_into_the_back_room__where_you.png,"shoji (0.14), wardrobe, closet, press (0.06), chiffonier, commode (0.05), church, church building (0.05), fire screen, fireguard (0.04)"
A_ghost_called__ghost_Betty__who_actually_went_to.png,"mobile home, manufactured home (0.67), window shade (0.04), barbershop (0.02)"
January_2007_Update_Additional_information__Remove.png,"palace (0.16), church, church building (0.10), lakeside, lakeshore (0.09), boathouse (0.05), window screen (0.05)"
Late_at_night_if_you_come_around_a_curve_in_the_ro.png,"maypole (0.13), car mirror (0.06), lakeside, lakeshore (0.04), alp (0.03), seashore, coast, seacoast, sea-coast (0.03)"
there_is_supposed_to_be_a_ghost_of_a_woman_searchi.png,"studio couch, day bed (0.76), home theater, home theatre (0.02), shoji (0.02)"
If_you_drive_down_this_road_in_the_late_night_and.png,"fountain (0.22), viaduct (0.05), church, church building (0.05), worm fence, snake fence, snake-rail fence, Virginia fence (0.04), suspension bridge (0.03)"
If_you_pass_over_this_bridge_at_midnight_on_a_fogg.png,"palace (0.53), boathouse (0.17), patio, terrace (0.04), greenhouse, nursery, glasshouse (0.03), monastery (0.02)"
Porter_s_Place_is_dedicated_to_the_late_Porter_Roc.png,"boathouse (0.11), beacon, lighthouse, beacon light, pharos (0.10), picket fence, paling (0.07), church, church building (0.06), tile roof (0.05)"
In_the_1940_s__a_young_girl_who_was_about_to_recei.png,"monastery (0.71), church, church building (0.03), beacon, lighthouse, beacon light, pharos (0.03), book jacket, dust cover, dust jacket, dust wrapper (0.02), prison, prison house (0.02)"
Witnesses_claim_to_have_spirits_speak_to_them_and.png,"wall clock (0.29), book jacket, dust cover, dust jacket, dust wrapper (0.12), beacon, lighthouse, beacon light, pharos (0.10), scoreboard (0.07), bell cote, bell cot (0.03)"
Tucker_Hall___In_1980__a_girl_committed_suicide_in.png,"scoreboard (0.41), abacus (0.14), prison, prison house (0.09), cinema, movie theater, movie theatre, movie house, picture palace (0.05), screwdriver (0.02)"
There_was_a_man_that_would_take_girls_in_the_back.png,"mask (0.27), snorkel (0.24), oxygen mask (0.16), gasmask, respirator, gas helmet (0.13), suit, suit of clothes (0.02)"
Supposedly_Mary_Telfair_also_haunts_this_former_la.png,"palace (0.69), church, church building (0.05), castle (0.04), monastery (0.02)"
Info_says_that_when_the_Indians_died_they_would_bu.png,"fire screen, fireguard (0.48), shoji (0.14), sliding door (0.11), bannister, banister, balustrade, balusters, handrail (0.05)"
The_Wilson_Plaza_historical_development_started_in.png,"book jacket, dust cover, dust jacket, dust wrapper (0.31), comic book (0.30), web site, website, internet site, site (0.07)"
haunted_by_an_executive_that_went_to_the_third_flo.png,"web site, website, internet site, site (0.36), comic book (0.21), book jacket, dust cover, dust jacket, dust wrapper (0.06), hair spray (0.03)"
In_the_late_seventies_a_six_year_old_boy_drown_in.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
__built_in_the_1840_s__is_said_to_also_have_activi.png,"window shade (0.34), bannister, banister, balustrade, balusters, handrail (0.05), shoji (0.03), prison, prison house (0.03), window screen (0.02)"
Haunted_by_the_ghosts_of_2_men_who_died_right_afte.png,"book jacket, dust cover, dust jacket, dust wrapper (0.65), comic book (0.19)"
Outside_of_Woodville__Noises_heard__apparition_of.png,"upright, upright piano (0.78), bannister, banister, balustrade, balusters, handrail (0.03), grand piano, grand (0.02)"
Legend_says_that_the_top_floor_of_this_hotel_is_ha.png,"space heater (0.39), grille, radiator grille (0.20), prison, prison house (0.07), shopping cart (0.04), shopping basket (0.03)"
Footsteps_are_heard_on_stage_in_the_auditorium_whi.png,"buckle (0.35), grille, radiator grille (0.23), cinema, movie theater, movie theatre, movie house, picture palace (0.06), shield, buckler (0.02), comic book (0.02)"
During_the_1800s__Brit_Bailey_died_a_natural_death.png,"window screen (0.20), palace (0.20), fountain (0.13), church, church building (0.09), dome (0.06)"
The_Iao_Theater___Supposedly_haunted_by_spirits_pa.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.92), home theater, home theatre (0.06)"
There_is_an_unkept_grave_marked_the_year_1870__but.png,street sign (0.92)
When_you_go_onto_the_bridges_at_night__you_are_sup.png,"suspension bridge (0.19), pier (0.18), prison, prison house (0.12), palace (0.04), church, church building (0.03)"
