Filename,Detected Objects
Haunted_by_a_girl_who_drowned_in_the_pool_.png,"shoji (0.35), pencil box, pencil case (0.08), cinema, movie theater, movie theatre, movie house, picture palace (0.04), wallet, billfold, notecase, pocketbook (0.02), maze, labyrinth (0.02)"
Many_security_guards_see_a_woman_in_a_long_dress_.png,"brass, memorial tablet, plaque (0.27), monastery (0.08), doormat, welcome mat (0.06), prayer rug, prayer mat (0.05), manhole cover (0.02)"
Alice_s_grave___the_hermitage_is_not_an_inn___it_i.png,"palace (0.78), monastery (0.04), church, church building (0.03), altar (0.02)"
A_spirit_named_Patrick_haunts_the_third_floor_and.png,"analog clock (0.61), wall clock (0.06), scoreboard (0.05), web site, website, internet site, site (0.03), slot, one-armed bandit (0.02)"
The_casino_is_located_about_1_hour_from_the_Minnea.png,"scoreboard (0.12), slot, one-armed bandit (0.11), cinema, movie theater, movie theatre, movie house, picture palace (0.10), limousine, limo (0.08), carousel, carrousel, merry-go-round, roundabout, whirligig (0.04)"
It_has_been_rumored_that_there_has_been_numerous_c.png,"television, television system (0.12), street sign (0.08), monitor (0.07), screen, CRT screen (0.06), lakeside, lakeshore (0.04)"
the_church_and_graveyard_is_said_to_be_haunted_by.png,"church, church building (0.97)"
Edisto_Island_Hwy_1_There_is_a_straight_road_calle.png,"cellular telephone, cellular phone, cellphone, cell, mobile phone (0.27), packet (0.13), hand-held computer, hand-held microcomputer (0.09), book jacket, dust cover, dust jacket, dust wrapper (0.08), lighter, light, igniter, ignitor (0.05)"
This_is_a_type_of_shopping_center__amusement_park.png,"slot, one-armed bandit (0.88)"
Use_to_be_farmland__and_the_farmer_hung_himself_on.png,"barn (0.92), boathouse (0.03)"
The_Old_School_House___It_was_reported_that_someti.png,"barn (0.92), boathouse (0.04)"
Ocean_Pier_One___Strange_electrical_problems__door.png,"turnstile (0.24), cinema, movie theater, movie theatre, movie house, picture palace (0.19), prison, prison house (0.12), shoji (0.06), restaurant, eating house, eating place, eatery (0.05)"
Haunted_by_a_young_girl_who_hitchhikes_and_asks_he.png,"book jacket, dust cover, dust jacket, dust wrapper (0.44), comic book (0.07), scoreboard (0.04), fire screen, fireguard (0.03), freight car (0.03)"
supposedly_one_of_the_Aldrich_daughters_killed_her.png,"web site, website, internet site, site (0.27), comic book (0.07), book jacket, dust cover, dust jacket, dust wrapper (0.04), scoreboard (0.03), racer, race car, racing car (0.03)"
It_is_believed_to_have_a_lot_going_on_here___This.png,"comic book (0.23), book jacket, dust cover, dust jacket, dust wrapper (0.15), web site, website, internet site, site (0.07), carpenter's kit, tool kit (0.05), wallet, billfold, notecase, pocketbook (0.04)"
Colorado_School_for_the_Deaf_and_the_Blind_was_bui.png,"barbershop (0.39), cinema, movie theater, movie theatre, movie house, picture palace (0.21), scoreboard (0.07), tobacco shop, tobacconist shop, tobacconist (0.05)"
An_African_American_was_hung_in_the_back_of_the_ol.png,"barn (0.36), lumbermill, sawmill (0.06), boathouse (0.04), picket fence, paling (0.03), mobile home, manufactured home (0.02)"
In_Benton_s_auditorium_figures_have_been_seen_and.png,"scoreboard (0.79), slot, one-armed bandit (0.02), oscilloscope, scope, cathode-ray oscilloscope, CRO (0.02)"
It_s_out_in_the_middle_of_nowhere__Its_not_really.png,"boathouse (0.49), barn (0.21), beacon, lighthouse, beacon light, pharos (0.11), church, church building (0.02)"
James_W__Miller_Learning_Resources_Center___The_ne.png,"church, church building (0.21), monastery (0.10), palace (0.09), bell cote, bell cot (0.07), beacon, lighthouse, beacon light, pharos (0.03)"
In_the_summer_after_raining_if_you_look_north_towa.png,"school bus (0.63), cab, hack, taxi, taxicab (0.08), lakeside, lakeshore (0.05)"
Thorson_Hall____there_have_been_sightings_of_the__.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.26), analog clock (0.05), tray (0.04), book jacket, dust cover, dust jacket, dust wrapper (0.02), monitor (0.02)"
It_is_known_that_Joe_was_ridding_down_the_dirt_roa.png,"bicycle-built-for-two, tandem bicycle, tandem (0.94)"
best_known_as_the_most_haunted_place_in_Charleston.png,"palace (0.78), thatch, thatched roof (0.06), greenhouse, nursery, glasshouse (0.03)"
This_is_an_old_Civil_War_fort_that_is_said_to_be_h.png,"monastery (0.29), prison, prison house (0.23), dome (0.05), castle (0.05), church, church building (0.03)"
around_1996_to_1997_a_manager_was_shot_in_the_Arby.png,"web site, website, internet site, site (0.46), scoreboard (0.05), rule, ruler (0.03), cassette (0.02), rubber eraser, rubber, pencil eraser (0.02)"
Theta_Delta_Chi_Fraternity____A_ghost_named_Barbar.png,"bannister, banister, balustrade, balusters, handrail (0.32), four-poster (0.08), cradle (0.07), theater curtain, theatre curtain (0.05), home theater, home theatre (0.05)"
All_of_W_K_is_haunted__but_the_most_haunted_places.png,"jigsaw puzzle (0.54), prayer rug, prayer mat (0.08), book jacket, dust cover, dust jacket, dust wrapper (0.08), slot, one-armed bandit (0.02), comic book (0.02)"
An_engine_room_worker_decided_to_cool_off_and_take.png,"prison, prison house (0.63), passenger car, coach, carriage (0.07), library (0.03)"
It_is_said_back_in_the_early_1800_s_a_man_s_two_ch.png,"boathouse (0.62), web site, website, internet site, site (0.16), book jacket, dust cover, dust jacket, dust wrapper (0.02)"
It_is_said_that_if_you_walk_past_the_mill_at_night.png,"monastery (0.28), prison, prison house (0.08), church, church building (0.08), tile roof (0.05), restaurant, eating house, eating place, eatery (0.03)"
There_is_an_old_tale_of_the_history_of_Rock_House.png,"tobacco shop, tobacconist shop, tobacconist (0.20), comic book (0.11), television, television system (0.07), shoe shop, shoe-shop, shoe store (0.05), book jacket, dust cover, dust jacket, dust wrapper (0.04)"
Reports_of_being_called_in__the_Spinning_Room____a.png,"monitor (0.16), home theater, home theatre (0.12), television, television system (0.11), screen, CRT screen (0.09), cinema, movie theater, movie theatre, movie house, picture palace (0.05)"
Sullivan_Music_Center____a_ghost_of_a_lovely_young.png,"table lamp (0.17), fire screen, fireguard (0.16), lampshade, lamp shade (0.14), theater curtain, theatre curtain (0.05), binoculars, field glasses, opera glasses (0.02)"
Several_problems_were_encountered_while_building_t.png,"scoreboard (0.57), tobacco shop, tobacconist shop, tobacconist (0.11), cinema, movie theater, movie theatre, movie house, picture palace (0.06), fire engine, fire truck (0.03), street sign (0.03)"
Near_Kings_Mt__St__Park____White_Wolf_Hollow___Two.png,"worm fence, snake fence, snake-rail fence, Virginia fence (0.04), freight car (0.04), lakeside, lakeshore (0.03), rapeseed (0.03), barn (0.03)"
Report_of_a_little_girl_spirit_sighting__Staff__pa.png,"freight car (0.12), grille, radiator grille (0.10), carpenter's kit, tool kit (0.06), slot, one-armed bandit (0.04), projector (0.04)"
There_is_a_ghost_of_a_headless_woman_that_haunts_L.png,"doormat, welcome mat (0.16), cinema, movie theater, movie theatre, movie house, picture palace (0.05), running shoe (0.03), joystick (0.03), comic book (0.02)"
Cry_Baby_Bridge____Right_before_you_get_to_Rose_Hi.png,"viaduct (0.50), steel arch bridge (0.18), pier (0.03), palace (0.02), suspension bridge (0.02)"
Theatre____while_seated_in_the_house_after_a_late.png,"book jacket, dust cover, dust jacket, dust wrapper (0.30), comic book (0.17), prayer rug, prayer mat (0.04), pick, plectrum, plectron (0.02), wallet, billfold, notecase, pocketbook (0.02)"
After_leaving_things_locked_up_in_the_booth_over_n.png,"rocking chair, rocker (0.36), guillotine (0.18), prison, prison house (0.15), folding chair (0.08), fire screen, fireguard (0.02)"
Ey_Witzke_haunts_this_old_railroad_depot_.png,"boathouse (0.32), lumbermill, sawmill (0.16), electric locomotive (0.07), steam locomotive (0.06), passenger car, coach, carriage (0.06)"
When_the_school_first_opened_in_the_seventies__the.png,"digital clock (0.40), cassette (0.12), digital watch (0.10), scoreboard (0.09), slot, one-armed bandit (0.02)"
Forty_Acre_Rock___The_legend_is_told_you_can_start.png,"comic book (0.47), prayer rug, prayer mat (0.14), book jacket, dust cover, dust jacket, dust wrapper (0.03), puck, hockey puck (0.03)"
Formerly_listed_in_Murrells_Inlet___Old_Gunn_Churc.png,"mobile home, manufactured home (0.35), boathouse (0.23), picket fence, paling (0.11), lakeside, lakeshore (0.02), solar dish, solar collector, solar furnace (0.02)"
In_the_first_cottage_along_the__1_fairway__the_bot.png,"boathouse (0.19), alp (0.11), thatch, thatched roof (0.03), barn (0.03), bell cote, bell cot (0.03)"
N_C__HWY_16___There_is_an_old_Indian_burial_ground.png,"park bench (0.15), worm fence, snake fence, snake-rail fence, Virginia fence (0.05), tusker (0.03), lakeside, lakeshore (0.02), Indian elephant, Elephas maximus (0.02)"
laughter__crying__and_talking_can_be_heard_in_the.png,"television, television system (0.18), window shade (0.06), pool table, billiard table, snooker table (0.03), grand piano, grand (0.02)"
Gymnasium____their_have_been_reports_of_a_little_g.png,"abacus (0.61), scoreboard (0.25)"
Darling_Church___Early_after_being_built_it_is_sai.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.34), monastery (0.25), church, church building (0.23), mosque (0.05), palace (0.02)"
An_old_woman_used_to_live_here_and_take_care_of_th.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
The_Story_goes_that_a_woman_had_a_husband_that_was.png,"street sign (0.43), scoreboard (0.13), book jacket, dust cover, dust jacket, dust wrapper (0.03)"
Barstow_House_____Barstow_House_s_Tourquoise_and_R.png,"palace (0.61), boathouse (0.03), monastery (0.03), castle (0.02), lakeside, lakeshore (0.02)"
Sightings_of_white_figures__Lots_of_Paranormal_act.png,"ballplayer, baseball player (0.41), breastplate, aegis, egis (0.19), pedestal, plinth, footstall (0.03)"
It_has_said_to_be_a_cemetery_under_some_apartments.png,"streetcar, tram, tramcar, trolley, trolley car (0.11), palace (0.10), passenger car, coach, carriage (0.07), monastery (0.05), park bench (0.04)"
this_is_where_a_Spanish_army_fought_and_defeated_a.png,"brass, memorial tablet, plaque (0.16), park bench (0.15), sundial (0.03), stone wall (0.03), lakeside, lakeshore (0.03)"
Pardon_Miller_House___RISD_Outer_Housing___is_the.png,"crossword puzzle, crossword (0.82), prison, prison house (0.03), shoji (0.03), window screen (0.02)"
Hearthstone_Inn___Reports_of_seeing_a_little_girl.png,"slot, one-armed bandit (0.93)"
Sometimes__when_you_are_staying_late_in_the_aftern.png,"window shade (0.29), palace (0.06), picket fence, paling (0.05), patio, terrace (0.03), restaurant, eating house, eating place, eatery (0.03)"
Not_far_from_the_local_racetrack_lies_the_site_of.png,"sandbar, sand bar (0.49), seashore, coast, seacoast, sea-coast (0.26)"
a_woman_is_sometimes_seen_in_the_second_floor_rest.png,"abaya (0.35), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.05), ski mask (0.04), prison, prison house (0.03), screen, CRT screen (0.03)"
A_woman_has_appeared_standing_near_the_fire_escape.png,"wallet, billfold, notecase, pocketbook (0.15), doormat, welcome mat (0.09), window screen (0.06), binder, ring-binder (0.06), Band Aid (0.05)"
Historic_Benefit_Street__with_it_s_historic_homes_.png,"boathouse (0.46), paddlewheel, paddle wheel (0.39)"
Xavier_Hall___Formerly_St__Xavier_Rectory___Studen.png,"palace (0.48), library (0.06), picket fence, paling (0.06), window shade (0.05), prison, prison house (0.04)"
In_the_1950s__after_the_schools_construction__a_gi.png,"washer, automatic washer, washing machine (0.38), cinema, movie theater, movie theatre, movie house, picture palace (0.20), mosque (0.05), prison, prison house (0.04), planetarium (0.02)"
Legend_has_it_that_a_couple_was_engaged_many_years.png,"prayer rug, prayer mat (0.65), jigsaw puzzle (0.10), book jacket, dust cover, dust jacket, dust wrapper (0.05), wallet, billfold, notecase, pocketbook (0.02)"
at_12_midnight_you_can_see_a_lady_with_two_little.png,"church, church building (0.30), monastery (0.14), bell cote, bell cot (0.08), palace (0.06), mosque (0.04)"
This_is_the_farm_that_lived_a_family_that_was_murd.png,"barn (0.82), boathouse (0.11)"
Ghostly_figures_have_been_seen_walking_through_the.png,"prison, prison house (0.12), monastery (0.09), wall clock (0.04), vault (0.04), digital clock (0.04)"
Tree_that_was_used_to_hang_slaves__They_say_that_i.png,"sarong (0.27), broom (0.13), sombrero (0.09), chain saw, chainsaw (0.06), theater curtain, theatre curtain (0.03)"
Airport___There_is_an_older_gentleman_that_haunts.png,"turnstile (0.49), prison, prison house (0.08), parking meter (0.08), bannister, banister, balustrade, balusters, handrail (0.03), library (0.02)"
In_the_old_Police_hall__currently_the_museum__in_t.png,"library (0.09), passenger car, coach, carriage (0.08), mobile home, manufactured home (0.07), window shade (0.06), patio, terrace (0.05)"
Along_the_old__Chile_Line__abandoned_Denver_and_Ri.png,"mobile home, manufactured home (0.80), boathouse (0.03), barn (0.02)"
School_house_roads___It_is_said_that_there_are_sev.png,"boathouse (0.18), mobile home, manufactured home (0.15), solar dish, solar collector, solar furnace (0.14), window screen (0.06), barn (0.06)"
Sounds_of_a_party_coming_from_an_abandon_area_abov.png,"comic book (0.32), jigsaw puzzle (0.12), book jacket, dust cover, dust jacket, dust wrapper (0.10), church, church building (0.04), tray (0.04)"
auditorium___A_lady_died_of_a_heart_attack_and_thi.png,"computer keyboard, keypad (0.81), space bar (0.07), typewriter keyboard (0.02)"
Horse_Thief_Canyon_is_located_west_of_Grand_Juncti.png,"valley, vale (0.29), cliff, drop, drop-off (0.27), dam, dike, dyke (0.07), hay (0.03), promontory, headland, head, foreland (0.02)"
This_huge__eerie_hotel_built_in_the_early_1900_s_w.png,"prison, prison house (0.15), palace (0.14), library (0.10), paddlewheel, paddle wheel (0.08), tobacco shop, tobacconist shop, tobacconist (0.05)"
