Filename,Detected Objects
the_ghost_of_Colonel_John_Waller_Hoomes_haunts_his.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
A_worker_claims_to_have_pictures_of_the_ghosts_1_c.png,"fire screen, fireguard (0.10), carpenter's kit, tool kit (0.05), book jacket, dust cover, dust jacket, dust wrapper (0.04), comic book (0.04), digital clock (0.03)"
Noises_running_up_the_walls_of_the_steps__lady_cal.png,"organ, pipe organ (0.12), digital clock (0.09), scoreboard (0.07), comic book (0.06), book jacket, dust cover, dust jacket, dust wrapper (0.04)"
Currier_Hall___According_to_rumor__a_triple_suicid.png,"palace (0.26), scoreboard (0.08), monastery (0.04), abacus (0.04), bell cote, bell cot (0.03)"
Comet_Lodge_Cemetery___Apparitions_and_shadows_see.png,"book jacket, dust cover, dust jacket, dust wrapper (0.16), comic book (0.15), doormat, welcome mat (0.07), cinema, movie theater, movie theatre, movie house, picture palace (0.04), web site, website, internet site, site (0.04)"
Feelings_of_getting_sick__major_emotions_and_disor.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
This_building_was_originally_the_county_poor_farm_.png,"barn (0.35), boathouse (0.30), beacon, lighthouse, beacon light, pharos (0.02)"
Hallas_Hall___supposedly_haunted_by_a_baby__Legend.png,"palace (0.31), monastery (0.26), prison, prison house (0.08), cinema, movie theater, movie theatre, movie house, picture palace (0.05), gondola (0.04)"
You_enter_the_graveyard_though_the_front_entrance_.png,"space shuttle (0.18), bolo tie, bolo, bola tie, bola (0.06), scoreboard (0.04), puck, hockey puck (0.03), buckle (0.03)"
Every_morning_at_about_midnight__It_is_said_to_be.png,"lighter, light, igniter, ignitor (0.54), wallet, billfold, notecase, pocketbook (0.22), binder, ring-binder (0.07), book jacket, dust cover, dust jacket, dust wrapper (0.05)"
Faint__deep_moans_can_be_heard_on_the_second_story.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
a_couple_was_in_a_wreck_on_prom_night__The_girl_ca.png,"slot, one-armed bandit (0.88), cinema, movie theater, movie theatre, movie house, picture palace (0.06), carousel, carrousel, merry-go-round, roundabout, whirligig (0.02)"
School_house___Sometimes_when_you_walk_in_the_hous.png,"slot, one-armed bandit (0.89), ocarina, sweet potato (0.04)"
a_girl_fell_off_of_ladder_on_stage_by_props_balcon.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
The_owners_have_an_outside_annual_Halloween_bonfir.png,"boathouse (0.67), barn (0.08), mobile home, manufactured home (0.05), picket fence, paling (0.04)"
Arguably_the_most_haunted_cemetery_in_central_Illi.png,"plastic bag (0.04), parking meter (0.03), ostrich, Struthio camelus (0.02)"
Thirteen_Graves___January_2006_Correction___This_w.png,"comic book (0.33), book jacket, dust cover, dust jacket, dust wrapper (0.15), jigsaw puzzle (0.08), packet (0.03)"
on_a_bridge_going_across_the_creek_to_the_Guilford.png,"suspension bridge (0.18), bannister, banister, balustrade, balusters, handrail (0.17), upright, upright piano (0.15), pier (0.10), grand piano, grand (0.02)"
This_tourist_attraction_contains_the_ghost_of_a_wo.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
Land_of_Moses___Located_just_outside_of_Butler_off.png,"tennis ball (0.35), book jacket, dust cover, dust jacket, dust wrapper (0.13), isopod (0.03), comic book (0.02)"
A_former_worker_for_10_years_reports__The_building.png,"tobacco shop, tobacconist shop, tobacconist (0.66), packet (0.06), comic book (0.03), book jacket, dust cover, dust jacket, dust wrapper (0.03), scoreboard (0.02)"
Visitors_of_the_old_cemetery_get_chased_by_a_ghost.png,"missile (0.10), projectile, missile (0.08), guillotine (0.05), loudspeaker, speaker, speaker unit, loudspeaker system, speaker system (0.05), home theater, home theatre (0.04)"
Theater___There_are_multiple_places_on_campus_that.png,"vending machine (0.71), tobacco shop, tobacconist shop, tobacconist (0.05)"
In_1907_there_was_a_women_and_her_husband_living_i.png,"scoreboard (0.53), comic book (0.07), book jacket, dust cover, dust jacket, dust wrapper (0.06), shield, buckler (0.02), lighter, light, igniter, ignitor (0.02)"
If_you_walk_down_the_center_of_the_cemetery_you_wi.png,"African chameleon, Chamaeleo chamaeleon (0.57), broccoli (0.11), agama (0.05)"
On_the_date_of_February_6__1996__the_way_of_life_i.png,"nematode, nematode worm, roundworm (0.13), matchstick (0.08), digital clock (0.05), jack-o'-lantern (0.02), theater curtain, theatre curtain (0.02)"
These_stories_have_been_passed_down_for_a_good_200.png,throne (0.93)
Located_on_the_back_roads_between_Minonk_and_Elpas.png,"viaduct (0.63), freight car (0.06), dam, dike, dyke (0.04), barn (0.03)"
Evergreen_Cemetery__87th_St___Kedzie_Ave___A_young.png,"pedestal, plinth, footstall (0.74), table lamp (0.05), spotlight, spot (0.02), obelisk (0.02)"
