Filename,Caption
This_hotel_was_built_in_1910__and_apparently_a_man.png,a large building with a clock on it
Rains_Hall_students_have_reported_seeing_strange_a.png,a tall brick building with a clock on it .
The_P_O_W_exhibit_and_Lady_Be_Good_and_the_Hop_alo.png,a man sitting on a bench in front of a building .
Gibbs_Bridge___Reports_of_hearing_squealing_brakes.png,a train traveling over a bridge over a river .
Has_been_removed.png,a red and white house sitting in the middle of a field .
haunted_by__The_Pink_Lady___The_origin_of_the_pink.png,a church with a steeple and a clock tower .
The_Theta_Phi_Alpha_House___Is_supposedly_hunted_b.png,a building with a clock on the front of it
At_night_there_are_noises_heard__and_things_seen_.png,a large building with a clock on it .
Beaver_Creek_Canal_systemA_reporter_once_took_a_pi.png,a boat in the middle of a lake surrounded by trees .
There_is_a_cemetery_on_the_left_hand_side_of_the_r.png,a group of people standing in front of a building .
Sounds_of_construction_work_at_the_school__Rumor_i.png,a black and white photo of a wooden fence
AT_the_only_school_in_Green_Springs__Ohio_there_is.png,a black and white photo of a building with a clock .
Allegedly_once_occupied_by_sea_serpent___monster_a.png,a house that has a house in the background .
Poltergeist_Presence_very_strong_in_this_14_screen.png,a young girl is playing a video game .
This_theater_is_haunted_by_two_known_ghosts__One_i.png,a man sitting in a chair with a laptop in front of him .
The_house_where_George_Washington_s_doctor_lived__.png,a building with a clock on the top of it .
Story_of_a_Man_that_murdered_his_wife_and_a_terrib.png,black and white photograph of a man on a skateboard .
Nurses_have_seen_and_experienced___angels__in_the.png,a black and white photo of a man sitting on a bench
35th_Avenue_and_McDowell_____Update__Burned_down_M.png,a building with a clock tower in the middle of it .
Kent_State_University___One_the_first_floor_of_All.png,a park bench sitting in the middle of a park .
At_night_in_three_ghostly_lights_can_be_seen_two_o.png,a church with a steeple and a clock tower .
Oakachoy_Covered_Bridge___There_used_to_be_a_cover.png,a house that is sitting in the grass .
this_small_newspaper_is_housed_in_a_extremely_haun.png,a person holding a nintendo wii game controller .
Writings_on_the_walls__strange_noises__and_cold_sp.png,a black and white photo of a brick building
There_is_a_very_small_hospital_on_the_east_side_of.png,a large building with a clock tower on top .
There_are_cowboys_or_country_type_of_apparitions__.png,a man standing next to a horse in a field .
Two_local_ghost_hunters_have_made_pictures_of_orbs.png,a group of people standing outside of a building .
Tangible_feeling_of_dread__oppression__and_sadness.png,a room that has a large window in it
Somersville___Sarah_Norton___Sarah_Norton_was_a_mi.png,a red brick building with a clock on it .
Strange_events_are_an_everyday_occurrence__such_as.png,a fire hydrant in the middle of a forest .
Ethal_Moore_Hall____The_ghost_of_a_young_woman_wai.png,a church with a clock tower on top of it .
Reports_of_a_girl_dressed_in_a_long_black_dress_by.png,a man and a woman standing next to each other .
Near_the_village_of_Monroeville_Lamereaux_road_cro.png,a black and white photo of a house
Brady_Hall___there_have_been_students__oppressed_.png,a black and white photo of a building with a clock tower .
Ghost_of_former_student_resides_there__Has_been_se.png,a black and white photo of a building with a clock tower .
Was_converted_into_a_Christian_boarding_school_in.png,a large building with a clock on it
The_original_owner_and_builder_of_Sacramento_s_old.png,a large building with a clock on it .
This_place_is_rumored_to_be_haunted_by_a_young_man.png,a black and white photo of a train station .
In_the_year_of_2003__a_young_man_of_the_age_20_was.png,a large building with a clock on top .
Its_called_Witches_Hollow_by_the_townspeople_becau.png,a tall building with a clock on it .
The_old_Sante_Fe_Tracks_where_AVE_271_turns_into_A.png,a train traveling down tracks next to a forest .
A_figure_in_white_has_been_seen_on_the_first_floor.png,a black and white photo of a fire hydrant .
Woman_in_White___Seen_in_park_setting_near_a_lone.png,a woman standing in a field with a frisbee .
College_Hall___There_s_a_ghost_named_Stephanie_who.png,a room filled with lots of wooden furniture .
Rumors_of_hauntings_on_the_second_floor__Things_mo.png,a black and white photo of a house
If_you_go_there_late_at_night__you_can_hear_the_sc.png,a black and white photo of a church with a clock tower .
Room__1___is_supposedly_haunted_by_one_of_the_form.png,a living room filled with furniture and a fire place .
The_acute_building_at_the_developmental_center_is.png,a tall building with a clock on it
Old_deserted_town_which_was_the_site_of_civil_war.png,a black and white photo of a church with a clock tower .
Strange_sense_of_heat_when_entering_field__Just_a.png,a group of people standing next to a building .
Since_the_road_is_very_dark_at_least_4_deaths_are.png,a fire hydrant sitting in the middle of a forest .
A_little_girl_died_on_this_bridge_when_her_brother.png,a black and white photo of a house
Agaard_road_is_on_the_right_side_of_highway_6_head.png,an old black and white photo of a church
Located_about_a_mile_and_a_half_from_the_Loch_Rave.png,a house that is sitting in the grass .
People_have_claimed_to_hear_footsteps_and_laughing.png,a black and white photo of a man and a woman
The_state_hospital_is_known_to_have_shadows_of_peo.png,a man standing in front of a bathroom mirror .
Porter_College___B_Building___3rd_Floor_North_of_t.png,a black and white photo of a park bench
is_rumored_to_be_the_stomping_grounds_of_many_an_r.png,a horse standing in the middle of a field .
If_you_take_101_out_by_a_place_named_green_hills_g.png,a building with a clock on the side of it .
It_was_staffed_for_years_by_a_group_of_nuns__One_o.png,a house that has a house in the background .
The_Puente_House_is_located_on_F_St__in_downtown_S.png,a house that has a house in the background .
There_is_a_tombstone_in_there_that_a_young_girl_si.png,a large white building with a clock on it .
The_wife_of_a_janitor_died_from_injuries_sustained.png,a man riding a skateboard down a sidewalk .
Bowling_Green__Ohio_Wood_County_Historical_Museum_.png,a rusted out train sitting on top of a lush green field .
College_Hall___4th_Floor___people_have_heard_the_c.png,a black and white photo of a train station .
Numerous_sightings_of_children_reported_by_patient.png,an old black and white photo of a church
Perry_Twp____Calvary_Cemetery___Lincoln_Way_East__.png,a red fire hydrant sitting in the middle of a field .
A_young_female_girl_with_light_hair_is_said_to_pat.png,a woman in a black dress is holding a knife
There_are_images_of_demons_on_either_side_of_the_b.png,a black and white photo of a cat sitting on a window sill .
A_woman_in_a_white_formal_gown_haunts_the_cemetery.png,a black and white photo of a man and a dog
Located_just_on_the_banks_of_the_Tallapoosa_River.png,a red fire hydrant sitting in the middle of a forest .
Alpha_Delta_Pi_Sorority____According_to_some_girls.png,a group of people sitting on a bench .
The_high_school_auditorium_is_haunted_with_a_women.png,a black and white photo of a kitchen
Dark_Room___Many_students_that_have_the_photograph.png,a black and white photo of a building
a_sighting_of_a_ghost_husky__dog__with_threelegs_r.png,a white dog standing next to a white dog .
located_in_California_s_Preservation_Park_Historic.png,a house that is sitting in the grass .
During_Hurricane_Katrina__numerous_people_were_kil.png,a small boat in a body of water
Its_said_that_the_library_is_suppose_to_be_haunted.png,a black and white photo of a train station .
Wilson_Hall___People_say_that_at_night_a_ghost_com.png,a black and white photo of an old church .
haunted_by_Thomas_Whaley___it_is_believed_there_ar.png,a black and white photo of a church
Right_below_the_bridge_is_the_small_town_cemetery_.png,a bridge over a river with a bridge in the background .
it_was_been_said_that_Mr__Hughs_the_man_the_hospit.png,a black and white photo of a building with a clock tower .
At_the_junction_of_the_Pea_River_and_the_Choctahat.png,a street scene with focus on a fire hydrant .
Dog_Town___Hidden_in_the_woods_off_of_rte_127__is.png,a cat sitting on a bench in the woods .
Kirtley_Hall___Room_313_is_haunted_by_two_differen.png,a living room filled with furniture and a fire place .
On_Rt__105__1_mile_south_of_I_495__Closed_due_to_u.png,a black and white photo of a barn in a field .
The_capital_was_burned_down_twice_by_fire__One_of.png,a black and white photo of a train station .
an_apparition_of_a_transparent_small_boy_in_a_jack.png,a black and white photo of a man with a skateboard .
You_travel_down_the_twisted_lane_until_you_reach_a.png,a black and white photo of a train
A_slave_poisoned_her_owners_wife_and_two_children.png,a black and white photo of a man and a woman
They_say_that_if_you_go_to_Strouds_Run__at_any_tim.png,a black and white photo of a boat in the water .
Cincinnati_Museum_Center___In_the_early_1990s__the.png,a train station with a train passing by
Little_known_but_to_some_employees__and_those_who.png,a black and white photo of a house with a house in the background .
Supposedly_People_were_hung_from_the_old_oak_in_th.png,a black and white photo of a train station .
San_L_.png,a large building with a clock on the front .
Haunted_Condo___There_are_many_haunting_stories__Y.png,a living room filled with furniture and a fire place .
This_building_was_once_a_whorehouse__In_the_mid_19.png,a large building with a large clock on it .
Located_off_State_rt_62_is_what_is_left_of_an_old.png,a horse standing in front of a house .
this_site_at_one_time_was_used_as_an_execution_gro.png,a bench sitting in the middle of a forest .
orbs_showing_up_in_pictures_something_banging_on_t.png,a black and white photo of a cat sitting on a chair
The_men_s_restroom_in_Red_Hill_Park_by_the_Auditor.png,a bathroom with a sink and a mirror
1976___Was_the_start_of_the_Memorial_Tournament_Ja.png,a fire hydrant in front of a building .
At_this_nice_but_not_so_quiet_hotel__many_things_h.png,a living room with a fireplace and a fire place .
Pickaway_Manor___It_is_said_that_a_woman_that_once.png,a church with a steeple and a clock tower .
Abandoned___Reports_of_cold_spots__an_apparition_o.png,a house with a house in the background .
Young_man_killed_by_drunk_driver_on_that_road__Dri.png,a man is standing on a sidewalk with a skateboard .
People_say_that_years_before__a_woman_and_her_baby.png,a black and white photo of a building with a clock .
A_girl_in_a_formal_dress_runs_across_the_lobby__th.png,a woman is sitting on a chair with a teddy bear .
Throughout_the_early_1900_s_till_the_1930_s_was_a.png,a church with a steeple and a clock tower .
The_bridge_collapsed_when_two_men_in_an_asphalt_tr.png,a truck is parked on the side of the road .
A_woman_was_hit_by_a_truck_and_killed__Now_her_gho.png,a man sitting on a bench next to a car .
On_the_7th_tier_of_the_Denison_University_library_.png,a black and white photo of a brick building
Metal_Hospital___In_Downey_behind_the_court_house.png,a black and white photo of a train station .
Owner__workers_and_guests_at_this_lovely_Victorian.png,a group of people standing next to a building .
There_is_a_small_place_called_Wagerville__between.png,a building with a clock on the side of it .
Ohio_State___There_was_a_student_who_drowned_in_Mi.png,a building with a clock on the top of it .
Sumiton_Elementary_Middle_School___There_is_a_man.png,a bench sitting in front of a building .
The_third_and_fourth_floors_of_the_old_county_hosp.png,a room that has a clock on the wall .
In_1896_Ceely_Rose_murdered_her_whole_family_with.png,a black and white photo of a man sitting on a bench .
When_ever_it_s_quiet_in_the_store_you_can_hear_the.png,a black and white photo of a living room
The_road_to_Cedar_Bog_is_enclosed_on_both_sides_by.png,a yellow fire hydrant sitting in the middle of a forest .
Gym___The_old_pool_under_the_floor_was_closed_down.png,a black and white photo of a kitchen .
It_is_known_that_there_was_a_man_who_has_shot_hims.png,an old black and white photo of a church
have_been_known_to_close_doors_softly_if_people_le.png,a black and white photo of a brick building
Hay_Hall___On_the_second_floor__there_have_been_re.png,a black and white photo of a building
The_ghost_of_a_young_woman_is_said_to_haunt_the_th.png,a black and white photo of a man and a woman
This_middle_school_is_supposedly_haunted_by_Genera.png,a white truck parked in front of a building .
The_name_or_origin_of_the_ghost_is_not_known_for_s.png,a black and white photo of a train station .
The_state_park_is_a_site_where_there_are_Indian_mo.png,a wooden bench sitting in the middle of a forest .
NASA_GSFC___B___W_Parkway_Gate____A_man_jogging_ea.png,a black and white photo of a street sign .
Ghost_children_come_out_to_play_sometimes_.png,a black and white photo of a man in a suit
There_is_a_mansion_set_off_the_road_in_Brunswick_.png,a group of people sitting on a bench in front of a building .
This_was_a_mansion_with_an_adjacent_asylum_for_wom.png,a living room with a couch and a table
There_is_said_to_be_A_teacher_of_music_who_got_kil.png,a black and white photo of a person walking down a street
Witnesses_report_to_see_some_glowing_grave_stones.png,a church steeple with a clock on it .
In_the_pool_area__a_boy_approximately_12_years_old.png,a little boy sitting on a bench with a frisbee .
You_can_hear_voices_at_midnight_on_a_full_moon__Th.png,a black and white photo of a building
by_the_pond_there_is_an_old_brown_bridge_that_a_gi.png,a couple of boats that are sitting in the water .
The_old_mill_was_built_before_the_civil_war__A_man.png,an old house with a barn in the background .
is_said_to_be_haunted_by_the_ghost_of_a_former_sec.png,a large building with a clock on it
tears_flow_from_a_statue__Arrows_on_the_back_of_gr.png,a statue of a man in a suit and tie .
About_20_years_ago__a_lady_died_and_was_buried_in.png,a black and white photo of a large building .
Believed_to_be_built_on_an_Indian_Burial_grcund_an.png,an old black and white photo of a church
there_have_been_reports_by_workers_that_you_can_he.png,a church with a steeple and a clock tower .
In_1993__two_kids_went_swimming___were_killed_by_a.png,a woman in a bikini standing on a surfboard .
At_night__in_the_cemetery_behind_the_church__an_ap.png,a group of people sitting on a bench in a park .
A_little_girl_s_spirit_is_said_to_haunt_King_s_Isl.png,a statue of a man holding a teddy bear .
Something_haunts_the_back_hill_of_this_cemetery__D.png,a black and white photo of a clock tower .
Music_Building___There_are_doors_that_open_and_clo.png,a black and white photo of a building with a clock tower .
The_home_of_the_silent_film_star_William_S__Hart_.png,a black and white photo of a church with a clock tower .
Strange_voices_have_been_heard____June_2008_Correc.png,a man walking across a beach holding a surfboard .
Strange_sounds_are_often_heard_late_at_night_____a.png,a house that has a house in the background .
A_janitor_died_from_a_heart_attack_in_the_upstairs.png,a man walking down the street with a suitcase .
Believed_to_be_haunted_by_a_lioness__the_sound_of.png,a large building with a clock tower on top .
Beebe_Princess_Hall___Second_Floor___Someone_or_so.png,a black and white photo of a boat in the water .
Just_off_Highway_43_outside_Northport__the_ghosts.png,a house that has a house in the background .
A_girl_attending_the_school_who_killed_herself_in.png,a woman holding a teddy bear in a room .
Rumor_has_it_that_the_theatre_is_haunted_by_a_spir.png,a group of people standing around a wooden table .
Things_in_the_prop_room_move_all_by_themselves__wh.png,a woman standing in front of an open refrigerator .
Over_15_years_ago__many_reporters_and_people_found.png,a house that has a house in the background .
It_is_known_for_figures_to_pop_up_and_vanish__And.png,a group of people standing around a fire hydrant .
The_Bush_House_is_now_a_Art_gallery_has_a_ghost_fr.png,a clock on the side of a building
an_old_house_ranch_from_the1800_s_is_said_to_be_ha.png,a house that has a house in the background .
Across_from_one_of_the_campsites__in_a_wooded_area.png,a red fire hydrant sitting in the middle of a field .
You_get_the_feeling_all_the_time_that_you_are_bein.png,a large building with a clock on the wall .
Sometimes_individual_students_see_the_shadow_of_th.png,a group of young men standing next to each other .
Apparition_reported_wandering_the_campgrounds_arou.png,an old church with a large tree in front of it .
Built_in_1849__the_brick_building_was_the_center_o.png,a red brick building with a clock tower .
Black_Aggie___the_statue_of_a_woman_over_the_grave.png,a black and white photo of a person on a skateboard .
On_the_entrance_ramp_to_state_route_32_leaving_Bat.png,a building with a clock on the top of it .
Haunted_by_willmot_Redd_the_first_and_only_witch_d.png,a church with a steeple and a clock tower .
John_Wayne_s_boat_docked_in_Newport_Harbor_is_said.png,a boat that is sitting in the water .
NASA_GSFC___Bldg__05___A_strong_sense_of_dread_in.png,a bathroom with a sink and a toilet
There_are_reports_of_a_little_boy_that_appears_in.png,a black and white photo of a church with a clock tower .
