Filename,Caption
A_woman_wearing_an_older_nurse_outfit_is_said_to_r.png,a man in a suit and tie standing in a room .
7_miles_outside_of_Elberton__Georgia_stands_the_Ge.png,a red fire hydrant sitting in the middle of a field .
You_go_there_and_you_can_hear_footsteps_of_people.png,a view of a city street with a traffic light .
In_the_old_mine_there_was_a_big_rock_fall_in_1890_.png,a book sitting on top of a book shelf .
In_the_Engineering_space_where_the_ship_was_hit_if.png,a room with a bed and a window
There_are_nine_ghosts_and_one_is_a_little_girl_who.png,a close up of a person holding a pair of scissors
Just_at_the_top_of_the_hill_and_the_road_that_lead.png,a person on a snowboard in the snow .
Ghost_Native_Americans_have_been_seen_dancing___ch.png,a close up of a pair of scissors
Library___It_is_said_that_there_is_a_ghost_in_the.png,a group of people standing in a room .
All_faucets_in_bathrooms_will_turn_on_automaticall.png,a black and white photo of a person on a laptop .
The_cemetery_beside_the_church_is_supposed_to_be_h.png,a clock tower in the middle of a park .
The_This_school_s_most_haunted_place_is_the_third.png,a building with a clock on the top of it .
This_place_is_known_to_be_extremly_haunted_sounds.png,a close up of a person holding a pair of scissors
A_woman_named_Irma_haunts_this_place__She_lived_in.png,a black and white photo of a brick building
Reports_of_odd_blue_and_red_lights_being_seen_at_n.png,a group of people standing in front of a building .
The_International_is_said_to_be_haunted_by_a_ghost.png,a large building with a clock tower on top of it .
This_haunted_neighborhood_has_been_written_about_i.png,a red and white fire hydrant sitting next to a building .
Mitchell_Bridge___There_was_a_guy_that_was_buried.png,a train is parked on the tracks near a building .
Mokihana_Dormitory___A_young_man_committed_suicide.png,a pair of scissors sitting on top of a table .
The_ghost_of_a_woman_is_seen__Also_a_baby_crying_c.png,a group of people standing next to each other .
This_Road_is_known_by_many_to_be_haunted__Some_hav.png,a red stop sign sitting on the side of a road .
Colgate_building___A_dark_male_figure_with_a_hat_s.png,a flock of birds flying through a cloudy sky .
The_hotel_is_very_old_but_has_had_at_least_4_milli.png,a large clock tower towering over a city .
Rumor_has_it_that_while_the_railroads_were_booming.png,a large building with a clock on it .
The_Murder_House___Now_a_Frat_House___The_house__l.png,a large clock tower towering over a city .
In_the_1960_s__five_Winooski_High_School_students.png,a black and white photo of a man and a woman .
People_have_seen_the_little_girl_that_died_there_a.png,a woman is standing in front of a mirror .
Six_Flags_Over_Georgia_Railroad___It_is_believed_t.png,a red and white train traveling down train tracks .
There_is_also_a_women_whom_wears_a_white_dress_tha.png,a woman standing in front of a mirror in a bathroom .
A_lady_s_body_was_found_by_the_Alpharetta_police_d.png,a car is parked on the side of the road .
In_the_middle_school_where_many_students_attuned_a.png,a statue of a man standing next to a clock .
Indian_Rock_Road_is_a_dark_and_wooded_road_about_f.png,a black and white photo of a room with an umbrella .
Mary_Moody_Northern_Theatre___Reports_of_a_shadow.png,a statue of a man in a suit and tie
_The_Regular__Bill_Wolcott_was_an_older_gentleman.png,a man wearing a tie and a hat .
The_old_library_seems_to_be_haunted_by_a_woman_in.png,a woman is standing in front of a store .
Go_down_Zazamora_after_you_pass_Loop_410_keep_goin.png,a train traveling down tracks next to a forest .
Foot_steps_in_empty_halls__breathing_over_your_sho.png,a black and white photo of a man with a skateboard .
Dubuis_Hall______a_former_nun_is_said_to_haunt_stu.png,a close up of a pair of scissors
Many_ghosts_have_been_seen_on_the_grounds_of_Coman.png,a red fire hydrant sitting in the middle of a park .
Two_identical_churches_sit_side_by_side__hence_the.png,a black and white photo of a church with a clock tower .
In_the_1940_s__a_china_couple_moved_in_there__The.png,a large building with a clock on the top of it .
A_witness_reports____while_on_the_top_of_this_bluf.png,a close up of a person holding a pair of scissors
For_nearly_a_century_there_have_been_reports_of_lo.png,a large building with a clock on it .
Box_Elder_Middle_School___In_the_girls_locker_room.png,a train station with a train on the tracks .
A_smell_of_flowers_or_bubble_gum_can_be_smelt_arou.png,a close up of a train on a train track
this_park_is_located_on_Manacaha_rd_next_to_Crocke.png,a park bench in the middle of a park .
The_Lady_has_been_at_this_hotel_for_years__The_hot.png,a group of people standing in front of a building .
Hearing_mumbling_voices__body_paralyzed__and_your.png,a black and white photo of a man in a suit
across_from_the_courthouse_there_is_a_store_that_i.png,a clock on the side of a building .
The_Idaho_Ghost_Hunters_say_that_Ammon_Park_is_hau.png,a pair of black and white shoes on a skateboard .
haunted_by_the_spirit_of_a_chambermaid_who_was_kil.png,a close up of a keyboard and a mouse
a_presence_of_a_male_has_been_felt_.png,a black and white photo of a building with a clock tower .
Girls_Locker_Room_Delaney_Hall___Witnesses_have_se.png,a collage of photos with a clock on the wall
