Filename,Caption
People_have_been_known_to_hear_strange_sounds_whil.png,a black and white photo of a person on a skateboard .
In_the_1960_s_the_second_floor_was_rented_as_apart.png,a clock on the wall of a building .
different_ones______DANGER_WARNING______visitors_r.png,a black and white photo of a person on a laptop .
haunted_by_many_different_spirits__including_that.png,a black and white photo of a person on a laptop .
The_Cedars_is_a_retirement_center__one_of_the_past.png,a giraffe standing next to a tree in a park .
Located_on_Colville_Road__Haunted_by_young_girl_wh.png,a building that has a clock on the side of it .
Many_teenagers_in_Casper_have_visited_the_Townsend.png,a large building with a clock on the front of it .
University_of_Wyoming___Knight_Hall___Second_Floor.png,a train station with a train on the tracks .
Once_the_original_Carnegie_Library_this_building_n.png,a tv sitting on top of a wooden stand .
at_the_top_of_the_mountain_some_nights_you_can_see.png,a microwave and a toaster on a table .
The_Moore_Building____The_Moore_Building_has_many.png,a black and white photo of a city street .
In_a_room_on_the_first_floor_that_was_numbered_13.png,a black and white photo of a person on a laptop .
The_Donaldson_mansion_was_a_quite_home_until_somet.png,a group of people sitting on top of a couch .
closed_school_in_Ashipunn__Wisconsin_on_Hwy_O__Sch.png,a house with a house in the background .
Weird_apparitions_of_light_and_ghostly_figures_hav.png,a black and white photo of a lamp post .
North_side___The_distance_is_a_mere_1_5_miles_betw.png,a group of people standing on top of a tennis court .
In_the_bottom_of_the_Railroad_Museum_there_is_an_o.png,a close up of a cell phone on a table
On_first_floor_near_the_old_morgue__you_can_hear_s.png,a wall mounted to a wall next to a wall .
It_has_been_said_that_in_the_girls_bathroom_in_the.png,a black and white photo of a person on a laptop .
Pfeiffer_Hall_room_245___there_is_said_to_be_a_gho.png,a large clock tower towering over a city .
A_graveyard_filled_with_graves_that_date_back_to_t.png,a sign that is on the side of a building .
Cowboy_Bar___Footsteps__when_no_one_in_there__Glas.png,a black and white photo of a person on a laptop .
Milwaukee_Country_Club___Spirit_pats_people_on_the.png,a person in a field with a frisbee .
College_students_and_teachers_reported_seeing_a_ch.png,a large white clock tower towering over a city .
its_a_group_home_but_used_to_be_where_the_nuns_sta.png,a man standing on a tennis court holding a racquet .
On_North_Country_Rd___Route_25A____April_2008_Upda.png,a red and white house in front of a house .
Reports_of_what_seems_to_be_a_female_ghosts__peopl.png,a black and white photo of a person on a laptop .
About_thirty_years_ago__investors_were_going_to_te.png,a room filled with lots of different colored vases .
No__8_Tunnel_in_the_old_tunnel___It_has_been_said.png,a black and white photo of a street light
It_is_believed_that_a_little_girl_haunts_this_neig.png,a black and white photo of a person on a laptop .
People_have_reported_seeing_ghosts_roam_the_remain.png,a group of people standing on top of a lush green field .
There_is_an_old_slave_cave_that_was_used_during_th.png,a picture of a man sitting on a bed .
The_Lady_in_White_roams_searching_for_her_daughter.png,a black and white photo of a person on a laptop .
they_say_that_the_school_is_buried_on_a_grave_and.png,a stop sign on the side of a road .
Apparently_years_back__a_boy_got_into_a_horrible_a.png,a display of different types of clocks on display .
A_small_cemetery_in_the_middle_of_nowhere__when_en.png,a sign that is on the side of a building .
Reports_of_creaking_floorboards__ghostly_moaning_.png,a close up of a street sign with a sky background
In_the_library_up_stairs_a_friendly_ghost_haunts_t.png,a bunch of different colored toothbrushes on display .
Potter_s_Field___In_the_nineteen_seventies_when_th.png,a black and white photo of a person on a laptop .
Located_at_the_north_end_of_4th_street__Abandoned.png,a brick building with a clock on the side of it .
Originally_a_church__the_Lawrence_Community_Theatr.png,a large group of people standing in front of a building .
_Moravian_Cemetery_Richmond_Rd___Photos_taken_of_p.png,a clock tower in the middle of a field .
The_Somerset_Plantation_house_and_grounds_is_haunt.png,a black and white photo of a church with a clock tower .
15_miles_south_of_Fort_YatesThis_story_goes_back_m.png,a group of people standing in front of a building .
Ghastly_Black_figures_such_as_cars__men__and_unexp.png,a group of ties hanging from a wall .
Cemetery_Road_and_the_corner_of_County_Road_52___.png,a black and white photo of a street sign
Haunted_by_the_spirit_if_the_old_man_who_died_buil.png,a group of people standing next to each other .
Serra_Hall___St__Coletta_s_is_a_giant_campus_of_bu.png,a large building with a clock on it
the_sounds_of_pool_being_played_can_be_heard_.png,a black and white photo of a person on a laptop .
Just_at_the_bottom_of_the_hill__a_green__glowing_o.png,a table with a vase of flowers on it
The_story_behind_Acid_Park_is_that_a_young_teenage.png,a group of people standing in front of a building .
A_old_Graveyard__where_one_peculiar_grave_glows__Y.png,a pair of scissors sitting on top of a table .
An_apparition_known_as_the__lady_in_white__has_bee.png,a black and white photo of a pair of scissors
A_restored_mansion__now_a_rest_area__and_open_to_t.png,a black and white photo of a person on a laptop .
Curtis_Hall___It_is_said_that_two_brothers_had_got.png,a group of colorful kites hanging from a ceiling .
This_one_time_when_This_gurl_was_walking_in_the_ha.png,a bedroom with a bed and a window
Bohm_Hall___is_haunted_by_a_girl_who_was_raped_in.png,a view of a city street from a window .
There_s_supposedly_a_woman_that_haunts_this_diner.png,a couple of trains parked next to each other .
A_mansion_that_is_haunted_by_the_family_members_wh.png,a group of men standing next to each other .
Salem_College_for_Women___Clewell_Dorm____Clewell.png,a group of people standing next to each other .
There_are_reports_of_noises_and_voices_and_other_o.png,a small dog sitting on top of a toilet .
Was_built_on_a_cemetery__The_cemetery_was_also_bui.png,a large building with a large clock tower .
a_trailer_on_Mcoy_road_is_said_to_be_haunted_by_a.png,a black and white photo of a person on a laptop .
The_story_is_that_15_or_16_little_kids_got_detenti.png,a group of people standing next to each other .
used_to_be_the_polo_field_is_haunted_by_two_gentle.png,a man riding a skateboard down a street .
Pharr_Mansion___There_is_a_mansion_located_at_the.png,a large group of people on a city street .
