Filename,Caption
Haunted_by_a_girl_who_drowned_in_the_pool_.png,a group of people standing next to each other .
Many_security_guards_see_a_woman_in_a_long_dress_.png,a building with a clock on the side of it .
Alice_s_grave___the_hermitage_is_not_an_inn___it_i.png,a room with a clock on the wall
A_spirit_named_Patrick_haunts_the_third_floor_and.png,a picture of a clock on a wall .
The_casino_is_located_about_1_hour_from_the_Minnea.png,a large clock on the side of a building .
It_has_been_rumored_that_there_has_been_numerous_c.png,a large building with a large clock on it .
the_church_and_graveyard_is_said_to_be_haunted_by.png,a church with a steeple and a clock tower .
Edisto_Island_Hwy_1_There_is_a_straight_road_calle.png,a close up of a person holding a cell phone
This_is_a_type_of_shopping_center__amusement_park.png,a display of different types of baseball bats .
Use_to_be_farmland__and_the_farmer_hung_himself_on.png,a red stop sign sitting on top of a lush green field .
The_Old_School_House___It_was_reported_that_someti.png,a red fire hydrant sitting in the middle of a field .
Ocean_Pier_One___Strange_electrical_problems__door.png,a living room with a couch and a table
Haunted_by_a_young_girl_who_hitchhikes_and_asks_he.png,a parking meter sitting on the side of a road .
supposedly_one_of_the_Aldrich_daughters_killed_her.png,a stop sign that has a sign on it .
It_is_believed_to_have_a_lot_going_on_here___This.png,a clock hanging from the ceiling of a building .
Colorado_School_for_the_Deaf_and_the_Blind_was_bui.png,a picture of a sign that reads `` <UNK> '' .
An_African_American_was_hung_in_the_back_of_the_ol.png,a house that has a fire hydrant in it .
In_Benton_s_auditorium_figures_have_been_seen_and.png,a large group of people standing in front of a building .
It_s_out_in_the_middle_of_nowhere__Its_not_really.png,a large building with a clock on it .
James_W__Miller_Learning_Resources_Center___The_ne.png,a large building with a clock on the front of it .
In_the_summer_after_raining_if_you_look_north_towa.png,a person on a motor bike in the water .
Thorson_Hall____there_have_been_sightings_of_the__.png,a large building with a clock on it .
It_is_known_that_Joe_was_ridding_down_the_dirt_roa.png,a man riding a bike down the street
best_known_as_the_most_haunted_place_in_Charleston.png,a clock tower in the middle of a city .
This_is_an_old_Civil_War_fort_that_is_said_to_be_h.png,a close up of a black and white clock
around_1996_to_1997_a_manager_was_shot_in_the_Arby.png,a close up of a street sign with a sky background
Theta_Delta_Chi_Fraternity____A_ghost_named_Barbar.png,a living room with a couch and a table
All_of_W_K_is_haunted__but_the_most_haunted_places.png,a group of people standing in front of a christmas tree .
An_engine_room_worker_decided_to_cool_off_and_take.png,a man standing in front of a kitchen counter .
It_is_said_back_in_the_early_1800_s_a_man_s_two_ch.png,a boat in a body of water with trees in the background
It_is_said_that_if_you_walk_past_the_mill_at_night.png,a red fire hydrant sitting on the side of a road .
There_is_an_old_tale_of_the_history_of_Rock_House.png,a black and white photo of a group of people
Reports_of_being_called_in__the_Spinning_Room____a.png,a person taking a picture of themselves in a mirror
Sullivan_Music_Center____a_ghost_of_a_lovely_young.png,a vase with flowers in it sitting on a table .
Several_problems_were_encountered_while_building_t.png,a street sign on a pole near a building
Near_Kings_Mt__St__Park____White_Wolf_Hollow___Two.png,a large clock tower towering over a lush green field .
Report_of_a_little_girl_spirit_sighting__Staff__pa.png,a close up of a mirror with a clock
There_is_a_ghost_of_a_headless_woman_that_haunts_L.png,a black and white photo of a person on a skateboard
Cry_Baby_Bridge____Right_before_you_get_to_Rose_Hi.png,a view of a city skyline from a window .
Theatre____while_seated_in_the_house_after_a_late.png,a picture of a clock on a wall .
After_leaving_things_locked_up_in_the_booth_over_n.png,a bed sitting in a room next to a window .
Ey_Witzke_haunts_this_old_railroad_depot_.png,a train traveling down tracks next to a forest .
When_the_school_first_opened_in_the_seventies__the.png,a group of people sitting on top of a tv .
Forty_Acre_Rock___The_legend_is_told_you_can_start.png,a table topped with lots of different colored ties .
Formerly_listed_in_Murrells_Inlet___Old_Gunn_Churc.png,a large building with a clock on it .
In_the_first_cottage_along_the__1_fairway__the_bot.png,a giraffe standing in front of a building .
N_C__HWY_16___There_is_an_old_Indian_burial_ground.png,a fire hydrant sitting in the middle of a forest .
laughter__crying__and_talking_can_be_heard_in_the.png,a woman sitting on a bench in front of a window .
Gymnasium____their_have_been_reports_of_a_little_g.png,a black and white photo of a train on a track .
Darling_Church___Early_after_being_built_it_is_sai.png,a group of people standing on top of a lush green field .
