Filename,Caption
Hastings_entertainment_store_and_a_tsc___formerly.png,a red and white sign on the side of a building .
The_childernes_musem_first_floor_used_to_be_a_morg.png,a large clock mounted to the side of a building .
people_walking_in_the_mansion_and_items_disappeari.png,a group of people standing in front of a building .
Believed_to_be_haunted_by_a_girl_possibly_named_Al.png,a black and white photo of a <UNK>
The_subdivision_was_built_in_the_late_90_s_on_top.png,a red and white boat in the water .
The_Bell_Tower___is_haunted__An_apparition_with_a.png,a wooden bench sitting in front of a window .
A_lot_of_people_might_not_know_this__but_this_elem.png,a fire hydrant on the side of the street .
no_known_denomination__It_has_two_stories__but_onl.png,a close up of a cake on a table
Library___back_when_Truman_University_was_Northeas.png,a black and white photo of a train station .
The_second_bridge_on_Old_94_highway_is_hard_to_fin.png,a large clock tower towering over a city .
has_footsteps_that_can_be_heard__During_refurbishi.png,a group of people standing in front of a building .
witnesses_say_they_seen_sighting_of_LITTLE_GREEN_M.png,a close up of a street sign with a sky background
June_2008_Removed___Hoax.png,a large building with a clock on it .
Witnesses_have_reported_something_jumping_on_them.png,a sign that is on the side of a building .
The_Jenkin_and_Barbara_David_Theater____on_the_Par.png,a large building with a clock on it
Supposedly__a_long_time_ago__black_women_were_hung.png,a large building with a clock on the front of it .
Curtis_Mansion___When_Miami_was_a_growing_city_thi.png,a large building with a clock tower in the middle of it .
The_resident_ghosts__Lola__has_been_seen_walking_a.png,a group of people standing next to each other .
The_3rd_floor_has_a_wandering_spirit_that_roams_an.png,a view of a building with a clock on it .
There_was_a_guy_that_died_in_a_house_nearby_and_in.png,a large building with a clock on it .
A_four_year_old_girl_was_supposedly_killed_here__S.png,a bunch of signs that are on a pole .
The_old_Union_Trust_building__now_First_Union__on.png,a group of people sitting on top of a wooden bench .
there_is_an_old_abandon_house_that_is_out_on_an_ol.png,a large building with a clock on it .
A_stretch_of_old_highway_on_the_outskirts_of_Jeffe.png,a street with a stop sign on the side of the road .
At_the_sight_of_the_old_hospital_housing_there_is.png,a street sign sitting on the side of a road .
The_Little_Girl___Some_time_ago_a_little_girl_died.png,a close up of a baseball glove on a table
Back_in_the_1950_s_there_were_two_cars_that_hit_he.png,a close up of a luggage bag on a bed
An_old_teacher_who_was_accused_of_abusing_children.png,a picture of a person holding a cell phone .
a_girl_hung_her_self_in_the_bathroom_said_to_be_ha.png,a black and white photo of a person on a laptop .
There_is_a_ghost_of_a_young_boy_that_haunts_the_Br.png,a train is on the tracks near a building .
one_particular_chair_was_always_in_the_same_spot_n.png,a laptop computer sitting on top of a wooden bench .
They_say_a_women_drowned_in_the_lake_and_every_nig.png,a bench sitting in front of a building .
around_10_30_some_say_they_see_a_little_girl_walki.png,a black and white photo of a group of people on a street .
A_woman_was_murdered_on_this_bridge__Her_ghost_sti.png,a boat is parked on the side of a river .
Back_in_the_1970_s_a_girl_was_raped_in_the_girl_s.png,a black and white photo of a street sign
can_see_civil_war_solider_in_door_way__It_was_the.png,a sign that is on the side of a building .
This_is_an_old_plantation_that_recently_burnt_down.png,a building with a clock on the top of it .
a_woman_was_murdered_by_a_janitor_back_in_the_80_s.png,a man in a suit and tie sitting in a car .
A_long_time_ago_a_man_was_working_for_a_railroad_c.png,a close up of a person holding a baseball bat
the_ghost_of_the_man_who_created_the_hospital__sam.png,a man holding a teddy bear in front of a mirror .
Such_notorious_characters_as_Wild_Bill_Hickock__Ca.png,a black and white photo of a street sign
Around_mile_marker_15_there_is_said_to_be_the_ghos.png,a street sign on a pole near a tree
LP_Dorm___A_foreign_exchange_student_reported_bein.png,a close up of a mirror with a clock
At_the_end_of_a_dead_end_road_there_lies_a_histori.png,a sign that is on the side of a building .
Eye_witness_reports_of_an_apparition_of_a_beautifu.png,a large building with a clock on the wall .
On_a_hill_above_the_Mt_Crest_Church_of_God_there_i.png,a church with a steeple and a clock tower .
There_are_many_locations_in_the__forest__as_it_is.png,a group of people standing on top of a lush green field .
Main_Street___Reports_of_strange_thing_happening_t.png,a building with a clock on the side of it .
Traveling_slowly_down_Greenbriar_Road_late_at_nigh.png,a street sign on a road near a body of water
Lately_people_been_seeing_strange_figures_in_the_w.png,a black and white photo of a tv
This_church_is_haunted_by_The_Sioux_Indians__Many.png,a large building with a clock on it .
employees_report_a_man_walks_around_plant_reported.png,a black and white photo of a person on a laptop .
is_haunted_as_well__by_the_ghosts_of_The_major_and.png,a black and white photo of a building with a clock .
