Filename,Caption
Building_21___This_is_the_building_where_John_Wilk.png,a large building with a clock on it .
This_place_was_an_old_orphanage__Then_it_became_a.png,a building with a clock on the side of it
This_was_a_World_War_Two_Factory_active_to_make_P_.png,a large building that has a clock on it
friendly_spirits_named_Minerva_and_Esmerelda_watch.png,a black and white photo of a person on a laptop .
Kirby_Hall___It_is_said_to_be_haunted_by_the_ghost.png,a large building with a large clock tower .
Michael_Energy_Factory_Daycare___it_said_that_buil.png,a group of birds sitting on top of a clock .
Many_voices_can_be_heard_and_cold_winds_can_be_fel.png,a black and white photo of a park bench
There_have_been_sightings_of_the_ghost_of_the_Leni.png,a group of ties hanging from a wall .
Rotunda___Worker_killed_there_is_seen_floating_aro.png,a large clock mounted to the side of a building .
its_a_huge_wooded_area_by_oak_street_school_were_m.png,a group of baseball players standing next to each other .
Shadows_are_seen_and_voices_are_heard_in_the_centu.png,a man sitting at a table with a laptop .
on_Bens_Lane__a_dirt_road__toward_the_end_of_the_r.png,a fire hydrant in the middle of a forest .
The_Newborn_Nursery_is_haunted_by_a_woman_in_white.png,"a bedroom with a bed , dresser , and bed ."
Old_Protestant_Church___The_ghost_of_a_man_who_was.png,a large building with a clock tower on top .
An_elderly_woman_s_voice_is_often_heard_here_.png,a close up of a street sign on a pole
East_Campus____is_Haunted_by_a_young_girl_who_atte.png,a clock tower in the middle of a park .
In_the_annex_of_the_girls_bathroom_you_here_giggle.png,a birthday cake with a train on it
Veterans_haven_is_right_next_to_bayside_prison_war.png,a house with a red fire hydrant in front of it .
Rogers_Hall___is_haunted_by_a_former_student_.png,a large building with a clock on the front of it .
is_the_oldest_operating_burial_ground_in_the_Unite.png,a close up of a street sign with a sky background
ghost_of_Helen_Vick_still_visits_her_fiancé_s_grav.png,a man in a suit and tie holding a teddy bear .
Adams_Hotel___This_hotel_was_built_in_1927_on_the.png,a large building with a clock on it .
At_least_3_ghosts_can_be_seen_in_the_wildlife_rese.png,a couple of white vases sitting on top of a table .
Teen_Center___A_boy_the_around_the_age_of_15_walks.png,a close up of a person wearing a suit and tie
This_cemetery_is_kind_of_large_and_extends_on_both.png,a group of people sitting on a bench in a park .
It_s_old__one_of_Sparta_s_first_buildings__In_the.png,a house with a tree in front of it .
This_structure_used_to_be_a_monastery_before_becom.png,a building with a clock on the front of it .
Haunted_by_the_last_descendant_of_the_former_owner.png,a large clock mounted to the side of a building .
there_was_a_hospital_for_the_soldiers_that_is_stil.png,a bathroom with a large mirror and a sink .
Great_Hall___There_are_a_lot_of_haunted_places_at.png,a church with a clock on the side of it
Route_208_Exit___The_legend_of_Franklin_Lakes__Gra.png,a black and white photo of a building
haunted_by_many_ghosts__including_a_ghost_cat_.png,a pair of scissors and a pair of scissors .
some_people_have_seen_a_little_girl_running_up_and.png,a black and white photo of a street sign .
A_farmhouse_dating_back_to_the_mid_1800s__now_refu.png,a white house with a wooden fence in the background .
The_gentleman_who_haunts_this_location_was_said_to.png,a living room filled with furniture and a fire place .
Strange_anomalies_on_film_have_been_recorded_.png,a group of ties hanging from a rack .
A_long_Road_in_the_pines_said_to_be_the_living_pla.png,a person riding a skateboard down a street .
This_is_an_old_boarded_up_house_on_Tamarack_Road_i.png,a giraffe standing next to a wooden fence .
In_the_hallway_at_the_principal_s_office_just_outs.png,a picture of a person holding a cell phone .
It_was_closed_for_many_years_and_was_finally_bough.png,a close up of a cake on a table
Records_Museum_building___formerly_the_main_struct.png,a train on a train track near a building
Lenfel_Hall___lights_turning_on_and_off__and_sight.png,a room with a bed and a table
IT_is_said_that_there_is_an_abandoned_factory_down.png,a man is standing in front of a window .
Mansion___There_are_many_different_stories_about_d.png,a collage of photos of a person holding a cell phone
it_is_said_that_man_jumped_from_the_tenth_floor_of.png,a group of people standing in front of a clock .
Foxall___the_elderly_housekeeper_has_been_seen_flo.png,a black and white photo of a person on a laptop .
Wilkins_Theater____is_said_to_haunted_by_a_man_nam.png,a large clock mounted to the side of a building .
Went_Ghost_hunting_on_Oct_31st_in_the_evening__Wit.png,a building with a clock on the front of it .
many_strange_thing_have_been_reported_here_such_as.png,a train traveling over a bridge over a river .
Library___The_library_which_was_once_the_summer_co.png,a group of ties hanging from a wall .
Bunce_Hall___Bunce_Hall__1st_building_constructed.png,a large building with a clock on it .
a_hooded_woman_has_been_seen_in_the_kitchen_window.png,a window that has a clock on it .
The_Attic___President_Harrison_is_often_heard_in_t.png,a room with a television and a table in it
Reports_of_a_rotten_stench_and_a_whistling_noise_.png,a clock mounted to the side of a building .
In_a_dense_wooded_area__it_is_believed_you_can_hea.png,a wooden bench sitting in front of a building .
Built_over_200_years_ago__the_Red_Mill_is_now_an_h.png,a red and white fire hydrant in front of a building .
a_heavyset_male_ghost_can_be_seen_on_the_staircase.png,a large metal oven sitting on top of a wooden floor .
Vaughn___Eames_Building___is_haunted_by_a_negative.png,a group of birds sitting on top of a building .
Gallaudet___Kendall_Demonstration_Elementary_Schoo.png,a building with a sign on the side of it
The_ghost_of_a_friendly_janitor_who_died_of_a_hart.png,a red suitcase sitting on top of a wooden table .
The_Gardens___Dolly_Madison_haunts_the_White_House.png,a group of people standing next to each other .
One_day_these_kids_were_said_to_be_walking_past_th.png,a man standing on a sidewalk next to a fire hydrant .
There_have_been_numerous_sightings_of_children_cry.png,a black and white photo of a snow covered mountain .
Along_River_Drive_there_have_been_sightings_of_a_g.png,a person is taking a picture of a mirror
_formerly_known_as_Maureen_s___New_International_C.png,a picture of a sign that reads `` <UNK> '' .
It_is_said_to_be__that_a_long_time_ago__during_the.png,a bird flying in front of a large building .
This_popular_inn_and_restaurant_is_host_to_several.png,a building with a clock on the front of it .
Roebling_High_School____at_the_outside_basketball.png,a large building with a clock on the wall .
many_employees_have_seen_ghosts_wearing_close_with.png,a group of people standing next to each other .
Heartbeat_Road___What_you_are_supposed_to_do_is_dr.png,a blue and yellow fire hydrant sitting on the side of a road .
The_magazine_at_Cape_May_point_once_housed_guns_to.png,a red and white train on a train track
voices_heard_in_the_projection_room__apparitions_o.png,a black and white photo of a person on a laptop .
It_is_now_a_museum_and_is_preserved_for_public_vis.png,a building with a clock on the side of it
S_Forklanding_road_near_jug_handle_in___When_cross.png,a street sign on the side of a road .
During_the_Revolutionary_War_the_woods_that_once_s.png,a bench in the middle of a forest .
Whital_House_Battle_Field___it_is_noted_of_hauntin.png,a row of red and white vases sitting on a table .
the_ghost_of_a_man_with_a_deep_voice_haunts_this_p.png,a black and white photo of a man in a suit
Recently__the_ghost_of_a_headless_man_has_been_see.png,a black and white photo of a man holding a skateboard .
Allaire_Village___Located_in_the_middle_of_the_par.png,a large building with a clock on it .
Strange_lights_can_be_seen_and_a_strange_shadow_oc.png,a table with a clock on it in a room .
Over_the_years_many_employees_have_experienced_man.png,a collage of photos of a baseball game .
Rose_Bedroom___President_Andrew_Jackson_is_said_to.png,a living room with a couch and a table
This_house_was_a_tavern_during_Washington_s_day_an.png,a red fire hydrant in front of a brick building .
had_a_friendly_spirit_that_enjoyed_pulling_on_gown.png,a woman standing in front of a mirror in a room .
Several_ghosts_have_been_reported_in_this_historic.png,a picture of a building with a clock on it .
Lockers_that_have_been_locked_are_found_open__the.png,a group of baseball bats sitting on top of a table .
On_the_third_floor_of_Roosevelt_middle_school_it_i.png,a living room with a couch and a tv
There_is_said_to_be_the_spirit_of_a_little_boy_whi.png,a building with a clock on the top of it .
HCHS_is_said_to_be_haunted_by_a_former_principle_w.png,a close up of a person holding a frisbee
Repeated_sightings__noises__and_furniture_being_th.png,a kitchen with a stove top oven next to a counter .
Strange_noises__such_as_laughter_and_a_crackling_f.png,a close up of a sign with a sticker on it
The_ghost_of_Joel_Clough_still_haunts_the_prison_.png,a woman is looking at a giraffe in a cage .
